# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-25,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,22.5,-25,0,0.01,-250,-3.54727,21.3481,0.568564,7.20323,22.8531,2.36215,25.2153,0.105331,0.914862,0.742105,0.739636
3,22.5,-25,0,0.01,-500,-13.9918,89.204,9.0046,33.9721,111.106,-9.66589,101.44,0.405028,3.72045,2.9775,2.97578
4,22.5,-25,0,0.01,-750,-31.3037,203.26,28.0263,81.4688,266.115,-15.607,250.508,0.902479,8.3844,6.65627,6.65432
5,22.5,-25,0,0.01,-1000,-55.1739,363.939,57.4453,149.185,488.248,-26.1306,462.117,1.58837,14.9059,11.7889,11.7862
6,22.5,-25,0,250,-0.01,22.8828,-5.44433,7.81978,-1.66718,20.1638,0.620421,20.7842,-0.970844,-0.139092,-0.861727,-0.864781
7,22.5,-25,0,250,-250,19.1051,18.8854,6.5576,4.94927,46.2265,-0.678308,45.5482,-0.837576,0.981138,0.0776478,0.0749771
8,22.5,-25,0,250,-500,1.96154,94.4879,18.5795,29.7903,135.503,-11.8549,123.648,-0.330677,4.08064,2.76433,2.76251
9,22.5,-25,0,250,-750,-33.7931,213.932,41.3403,75.5322,276.335,-17.7974,258.537,0.731707,9.06401,6.98184,6.9799
10,22.5,-25,0,250,-1000,-47.2411,375.352,71.7184,140.301,505.497,-28.6504,476.846,1.19372,15.5538,11.5329,11.5303
11,22.5,-25,0,500,-0.01,90.3205,-16.4361,34.3245,-3.69229,95.1584,-15.6686,79.4898,-3.43137,-0.410396,-2.95402,-2.95564
12,22.5,-25,0,500,-250,88.9213,-3.23151,34.1667,1.10549,112.712,-16.1642,96.5477,-3.4213,0.216141,-2.41723,-2.41898
13,22.5,-25,0,500,-500,76.2718,83.0256,37.768,25.3371,213.658,-18.3222,195.336,-3.21249,4.09202,0.560054,0.558066
14,22.5,-25,0,500,-750,49.0241,211.145,57.0502,71.8666,370.234,-23.0876,347.147,-2.52726,9.32513,5.24485,5.24273
15,22.5,-25,0,500,-1000,12.4105,385.309,96.5697,131.418,590.022,-33.4281,556.594,-1.40732,16.2886,10.962,10.9594
16,22.5,-25,0,750,-0.01,204.522,-36.3344,84.4609,-7.98234,223.267,-28.5246,194.742,-7.68427,-0.889041,-6.60669,-6.60836
17,22.5,-25,0,750,-250,203.243,-23.9488,84.8051,-1.66568,241.508,-29.2165,212.292,-7.72756,-0.395619,-5.83817,-5.8399
18,22.5,-25,0,750,-500,197.104,46.0932,89.8891,19.7781,334.843,-31.4232,303.42,-8.06742,2.99832,-3.98073,-3.98274
19,22.5,-25,0,750,-750,175.675,192.35,96.4712,63.3343,509.458,-35.3974,474.061,-7.23357,9.32238,1.342,1.33956
20,22.5,-25,0,750,-1000,138.889,372.482,117.617,132.737,730.597,-43.5061,687.09,-6.41403,16.6956,7.98972,7.98695
21,22.5,-25,0,1000,-0.01,361.396,-63.7569,156.674,-13.454,402.482,-47.8943,354.588,-13.6483,-1.51223,-11.6045,-11.6066
22,22.5,-25,0,1000,-250,347.905,-60.1264,178.015,-1.79122,423.566,-52.6624,370.904,-14.2873,-1.20627,-10.3895,-10.3873
23,22.5,-25,0,1000,-500,354.642,-3.40833,165.844,12.4235,497.422,-50.9887,446.433,-13.6413,1.16941,-9.19975,-9.20209
24,22.5,-25,0,1000,-750,328.016,139.388,170.559,53.4582,660.511,-55.8747,604.636,-13.0561,7.86527,-4.15186,-4.15435
25,22.5,-25,0,1000,-1000,317.393,309.421,218.009,117.117,924.411,-64.1592,860.252,-16.4976,15.6448,-1.93661,-1.93799
26,22.5,-25,2.5,0.01,-0.01,-1.84994,-1.68045,-3.80117,-1.0332,-8.77241,-0.926706,-9.69911,0.0576909,-0.0468091,-0.0225928,-0.0220497
27,22.5,-25,2.5,0.01,-250,-4.44416,18.7921,-3.12355,2.8791,12.3545,-3.52024,8.83428,0.13262,0.856206,0.631633,0.631691
28,22.5,-25,2.5,0.01,-500,-14.8195,86.9151,0.15471,25.4188,90.6569,-11.0972,79.5597,0.429889,3.68394,2.89145,2.89091
29,22.5,-25,2.5,0.01,-750,-32.2618,201.125,12.9274,68.3524,234.479,-22.6887,211.79,0.929588,8.36123,6.59456,6.59321
30,22.5,-25,2.5,0.01,-1000,-56.2014,362.219,35.673,131.056,445.21,-37.9051,407.305,1.61593,14.8964,11.7159,11.7135
31,22.5,-25,2.5,250,-0.01,19.3317,-5.52338,1.49082,-3.13358,9.39341,-5.42951,3.96389,-0.79585,-0.13881,-0.648635,-0.648664
32,22.5,-25,2.5,250,-250,16.9354,16.0458,0.426196,0.981475,32.5614,-6.92511,25.6363,-0.7505,0.887365,0.0797735,0.0796029
33,22.5,-25,2.5,250,-500,0.768059,93.549,8.21796,20.6607,114.749,-14.147,100.602,-0.289171,4.05403,2.73637,2.73569
34,22.5,-25,2.5,250,-750,-23.0817,214.105,22.9497,61.1656,255.453,-25.3364,230.116,0.520365,8.93379,6.73752,6.7361
35,22.5,-25,2.5,250,-1000,-47.5463,376.878,49.8808,118.62,463.252,-40.7865,422.465,1.36005,15.5763,11.9062,11.9038
36,22.5,-25,2.5,500,-0.01,89.8355,-17.7096,22.3501,-6.63692,77.3028,-17.5339,59.769,-3.41702,-0.420964,-2.59864,-2.59923
37,22.5,-25,2.5,500,-250,87.8796,-4.11894,21.471,-1.9399,95.596,-18.7312,76.8649,-3.3944,0.189161,-2.3346,-2.33527
