# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,30,-22.5,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,30,-22.5,0,0.01,-250,-2.67753,18.7489,0.335193,5.18149,18.6595,3.03518,21.6947,0.110018,0.767735,0.623782,0.620745
3,30,-22.5,0,0.01,-500,-10.3019,79.3737,7.37848,24.6613,94.4067,-9.19555,85.2111,0.408566,3.13577,2.52555,2.52374
4,30,-22.5,0,0.01,-750,-22.6411,182.727,23.1998,58.5203,227.809,-12.1879,215.621,0.891277,7.0943,5.71332,5.71152
5,30,-22.5,0,0.01,-1000,-39.6899,328.199,47.8218,107.806,419.734,-21.0401,398.694,1.55826,12.6085,10.1764,10.174
6,30,-22.5,0,250,-0.01,29.0912,-5.95054,13.814,-2.17479,30.1635,-0.940241,29.2232,-1.45936,-0.10923,-1.15726,-1.16027
7,30,-22.5,0,250,-250,29.2221,12.6942,13.264,1.39848,52.2224,-2.14179,50.0806,-1.44213,0.745817,-0.538673,-0.54197
8,30,-22.5,0,250,-500,20.2172,83.5451,18.2051,19.7795,133.934,-12.032,121.902,-1.21071,3.48026,1.6654,1.66347
9,30,-22.5,0,250,-750,3.79521,194.114,38.0069,49.8045,269.544,-15.0096,254.535,-0.531497,7.59765,5.10727,5.10543
10,30,-22.5,0,250,-1000,-16.2424,343.877,65.7572,95.4128,460.759,-23.6198,437.139,0.412501,13.1973,9.76571,9.76339
11,30,-22.5,0,500,-0.01,121.551,-20.7705,67.3269,-5.7724,149.045,-24.1954,124.849,-5.73773,-0.345794,-4.47527,-4.47739
12,30,-22.5,0,500,-250,123.593,-23.4326,62.6897,-2.63424,147.643,-23.5562,124.087,-5.82284,-0.394195,-4.62842,-4.63055
13,30,-22.5,0,500,-500,120.635,58.4984,65.0448,9.82684,241.345,-23.5794,217.766,-5.8814,3.15231,-2.0619,-2.06426
14,30,-22.5,0,500,-750,109.444,182.762,76.5178,40.4991,393.832,-25.6893,368.142,-5.66917,7.94872,1.73086,1.7287
15,30,-22.5,0,500,-1000,87.142,345.911,95.2423,90.9052,590.237,-32.7679,557.469,-5.06045,14.0045,6.58467,6.58222
16,30,-22.5,0,750,-0.01,272.947,-44.6618,158.882,-9.92321,347.714,-45.1836,302.531,-12.837,-0.696141,-9.78281,-9.78507
17,30,-22.5,0,750,-250,277.137,-50.89,151.511,-7.92356,342.719,-44.0285,298.69,-12.9835,-0.899085,-10.0886,-10.0909
18,30,-22.5,0,750,-500,263.964,-4.18321,156.334,4.41884,391.19,-44.9691,346.221,-14.5239,1.24519,-9.79419,-9.79668
19,30,-22.5,0,750,-750,271.607,140.704,158.287,24.9481,569.685,-46.6749,523.01,-13.0485,7.29541,-4.19069,-4.19331
20,30,-22.5,0,750,-1000,257.749,318.038,171.91,70.4314,789.518,-50.7666,738.752,-12.4431,14.2154,1.38607,1.383
21,30,-22.5,0,1000,-0.01,486.137,-77.0263,286.515,-17.2187,625.534,-77.908,547.626,-22.7378,-1.0871,-17.076,-17.0789
22,30,-22.5,0,1000,-250,489.973,-78.4527,280.944,-16.5924,628.694,-76.9482,551.746,-22.9158,-0.835765,-17.4499,-17.4527
23,30,-22.5,0,1000,-500,488.297,-75.3502,282.909,-4.4027,643.849,-77.702,566.147,-22.9064,-1.02961,-17.7283,-17.7312
24,30,-22.5,0,1000,-750,485.709,54.323,287.961,17.8686,796.466,-79.773,716.693,-22.9816,4.68596,-13.2771,-13.2803
25,30,-22.5,0,1000,-1000,482.266,256.537,293.506,46.6816,1035.27,-81.4217,953.852,-23.1222,13.0691,-7.14942,-7.15278
26,30,-22.5,2.5,0.01,-0.01,-1.62792,-1.82797,-3.71189,-1.07053,-8.65582,-0.97169,-9.62751,0.0720066,-0.0464997,-0.0150235,-0.0144916
27,30,-22.5,2.5,0.01,-250,-3.53146,16.0135,-2.92381,1.68054,9.80118,-3.30897,6.49221,0.147504,0.700572,0.523748,0.523817
28,30,-22.5,2.5,0.01,-500,-10.7933,77.4148,-0.574732,17.1987,77.0428,-9.51249,67.5303,0.433113,3.09611,2.41982,2.41938
29,30,-22.5,2.5,0.01,-750,-23.1465,182.133,9.52418,47.5855,201.925,-19.1112,182.814,0.915779,7.09317,5.66061,5.6595
30,30,-22.5,2.5,0.01,-1000,-40.1292,329.367,27.8805,93.1904,385.28,-31.8567,353.423,1.57954,12.6507,10.1931,10.1911
31,30,-22.5,2.5,250,-0.01,28.1373,-7.23025,6.3309,-3.81589,19.5716,-7.7929,11.7787,-1.37089,-0.131909,-0.956592,-0.956752
32,30,-22.5,2.5,250,-250,27.6894,8.35981,5.57165,-1.28417,37.4171,-8.92166,28.4955,-1.38784,0.597582,-0.607235,-0.607496
33,30,-22.5,2.5,250,-500,18.8217,81.7921,8.80323,12.4981,115.262,-13.912,101.35,-1.14474,3.4332,1.65526,1.65465
34,30,-22.5,2.5,250,-750,2.71583,193.634,24.0645,39.027,244.429,-23.3706,221.058,-0.474159,7.58361,5.05916,5.05794
35,30,-22.5,2.5,250,-1000,-17.3184,344.76,45.5128,81.3206,427.15,-35.8233,391.327,0.471083,13.2125,9.70565,9.70362
36,30,-22.5,2.5,500,-0.01,121.754,-22.8973,50.0666,-7.09454,126.777,-26.3761,100.401,-5.72112,-0.364532,-4.08293,-4.08385
37,30,-22.5,2.5,500,-250,122.743,-25.2922,47.9271,-5.58847,126.97,-26.6949,100.275,-5.78748,-0.440065,-4.57843,-4.57937
38,30,-22.5,2.5,500,-500,119.384,53.4406,49.3431,4.2398,214.168,-29.8297,184.338,-5.78336,2.98442,-2.16653,-2.16769
39,30,-22.5,2.5,500,-750,107.09,181.006,57.2603,30.9262,362.216,-36.3685,325.847,-5.56654,7.89898,1.70977,1.70819
40,30,-22.5,2.5,500,-1000,84.597,346.822,71.6942,76.9413,552.678,-46.3678,506.31,-4.91674,14.0124,6.66374,6.6615
41,30,-22.5,2.5,750,-0.01,273.539,-45.8597,134.327,-11.7874,317.796,-55.4259,262.37,-12.8285,-0.6531,-9.09365,-9.09551
42,30,-22.5,2.5,750,-250,277.539,-52.1807,128.313,-10.5116,313.995,-54.7619,259.233,-13.0014,-0.877285,-9.73979,-9.74164
43,30,-22.5,2.5,750,-500,276.214,-9.91534,127.768,-1.46478,365.735,-56.843,308.892,-13.0019,0.99205,-8.88586,-8.88784
44,30,-22.5,2.5,750,-750,271.587,135.567,131.852,17.6962,531.13,-60.9919,470.139,-13.0443,7.13733,-4.30992,-4.31217
