# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,25,-27.5,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,25,-27.5,0,0.01,-250,-3.95675,23.961,0.78097,8.53539,25.7412,1.98227,27.7235,0.130316,1.09556,0.903671,0.899906
3,25,-27.5,0,0.01,-500,-15.7855,99.6302,11.3234,41.0697,127.294,-10.8103,116.483,0.509696,4.46117,3.64613,3.64431
4,25,-27.5,0,0.01,-750,-35.3174,227.397,34.3312,99.0525,305.899,-18.0679,287.831,1.13628,10.079,8.14965,8.14745
5,25,-27.5,0,0.01,-1000,-62.2935,406.639,69.7447,181.63,561.22,-31.4037,529.816,2.00062,17.9161,14.4188,14.4157
6,25,-27.5,0,250,-0.01,24.6609,-4.26227,8.49951,-1.45681,23.3658,0.251413,23.6172,-1.027,-0.11566,-0.825791,-0.82959
7,25,-27.5,0,250,-250,21.1837,23.2211,8.82407,5.96851,55.1446,-1.7534,53.3912,-0.970303,1.25309,0.189298,0.185331
8,25,-27.5,0,250,-500,3.49875,106.904,23.1522,36.2733,158.531,-13.2585,145.272,-0.418828,4.93195,3.28696,3.28507
9,25,-27.5,0,250,-750,-22.1541,238.787,49.0344,91.7948,332.633,-20.362,312.271,0.559289,10.7047,8.05103,8.04884
10,25,-27.5,0,250,-1000,-49.4548,417.766,88.6155,169.517,583.259,-33.872,549.387,1.59824,18.621,14.265,14.2621
11,25,-27.5,0,500,-0.01,101.699,-15.5468,43.0368,-3.64283,114.641,-18.1841,96.457,-4.13051,-0.397307,-3.22045,-3.2222
12,25,-27.5,0,500,-250,100.207,0.153565,42.9881,1.3772,135.777,-18.6091,117.168,-4.128,0.398964,-2.92248,-2.92432
13,25,-27.5,0,500,-500,88.2197,98.5865,48.51,30.4864,255.598,-20.508,235.09,-3.92827,5.14464,0.779401,0.777254
14,25,-27.5,0,500,-750,58.6525,242,68.2682,89.8875,436.534,-26.4359,410.098,-3.14964,11.4116,6.30357,6.30127
15,25,-27.5,0,500,-1000,18.4017,434.231,116.285,162.539,687.524,-39.9378,647.586,-1.76876,19.6819,12.9181,12.915
16,25,-27.5,0,750,-0.01,229.898,-33.5714,104.948,-7.56288,269.537,-33.6786,235.858,-9.2493,-0.823972,-6.90287,-6.90475
17,25,-27.5,0,750,-250,228.467,-20.2918,105.232,-1.12845,291.222,-34.2517,256.97,-9.26066,-0.28244,-6.81031,-6.81228
18,25,-27.5,0,750,-500,220.52,63.6541,110.127,21.5966,395.328,-36.1535,359.175,-9.1693,4.10075,-4.2783,-4.28053
19,25,-27.5,0,750,-750,200.648,229.363,120.725,75.7802,604.802,-40.8626,563.94,-8.83673,11.7779,1.80248,1.79985
20,25,-27.5,0,750,-1000,162.372,430.387,146.674,161.71,864.924,-51.2092,813.714,-7.9361,20.6024,9.66793,9.66472
21,25,-27.5,0,1000,-0.01,408.291,-57.655,194.801,-13.1876,488.725,-58.4821,430.243,-16.3539,-1.34527,-11.8235,-11.8259
22,25,-27.5,0,1000,-250,406.804,-39.3942,195.421,-5.03097,518.083,-58.9112,459.172,-16.3826,-0.504128,-11.481,-11.4834
23,25,-27.5,0,1000,-500,400.213,10.0138,202.247,15.0568,593.349,-60.8898,532.459,-16.3288,1.94673,-11.1231,-11.1257
24,25,-27.5,0,1000,-750,387.594,184.152,207.979,59.6351,803.911,-64.483,739.428,-16.1909,10.6198,-5.23916,-5.24223
25,25,-27.5,0,1000,-1000,359.011,412.549,226.199,140.223,1099.95,-71.7174,1028.23,-15.7101,21.0154,3.18614,3.18256
26,25,-27.5,2.5,0.01,-0.01,-1.80785,-1.64041,-3.76966,-1.04175,-8.66018,-0.966839,-9.62702,0.06408,-0.0512878,-0.0212618,-0.0207359
27,25,-27.5,2.5,0.01,-250,-4.7098,21.6798,-3.23059,4.08457,15.4654,-3.87854,11.5869,0.158319,1.04822,0.783547,0.783544
28,25,-27.5,2.5,0.01,-500,-16.6565,97.6705,1.65423,32.5047,106.175,-12.6292,93.5461,0.540898,4.43386,3.47986,3.47919
29,25,-27.5,2.5,0.01,-750,-36.3957,225.513,17.9593,86.2003,273.156,-25.8963,247.26,1.17324,10.0579,7.99761,7.99602
30,25,-27.5,2.5,0.01,-1000,-63.6253,404.843,46.4157,164.596,516.73,-43.3049,473.426,2.04506,17.9018,14.2747,14.272
31,25,-27.5,2.5,250,-0.01,22.0849,-5.57739,2.93411,-3.1332,13.225,-6.28756,6.93747,-0.960948,-0.153631,-0.741759,-0.741839
32,25,-27.5,2.5,250,-250,19.7681,20.1591,1.727,1.67157,41.0999,-7.96832,33.1315,-0.920696,1.1445,0.147728,0.147495
33,25,-27.5,2.5,250,-500,2.27638,105.809,11.9339,26.9532,136.716,-16.2812,120.435,-0.369063,4.90164,3.24932,3.24853
34,25,-27.5,2.5,250,-750,-23.3849,238.129,31.2859,77.9098,299.366,-29.1179,270.248,0.612097,10.6952,7.9352,7.93357
