# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-20,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,22.5,-20,0,0.01,-250,-2.58107,16.6989,-0.0136043,3.85587,15.1265,3.13521,18.2617,0.0768758,0.649949,0.496653,0.493088
3,22.5,-20,0,0.01,-500,-9.86244,71.3722,4.98675,19.0138,79.7124,-7.37869,72.3337,0.284633,2.64431,2.04259,2.04104
4,22.5,-20,0,0.01,-750,-21.8218,164.358,16.9627,46.1075,193.338,-10.1128,183.225,0.626108,5.9664,4.62194,4.62031
5,22.5,-20,0,0.01,-1000,-38.3534,295.053,36.0291,85.517,356.721,-17.1251,339.596,1.09865,10.5851,8.23679,8.23471
6,22.5,-20,0,250,-0.01,22.1212,-4.624,6.50827,-1.28292,18.9409,1.08177,20.0227,-0.859148,-0.085881,-0.699243,-0.702896
7,22.5,-20,0,250,-250,20.2513,11.7127,6.05591,1.85788,36.4933,-0.104415,36.3889,-0.831885,0.619991,-0.203236,-0.207037
8,22.5,-20,0,250,-500,9.50955,74.1733,12.4651,15.1744,104.472,-9.3715,95.1,-0.565721,2.84743,1.63725,1.63562
9,22.5,-20,0,250,-750,-8.01303,172.262,25.3791,41.0492,216.682,-11.8348,204.847,0.00441602,6.24751,4.39355,4.3919
10,22.5,-20,0,250,-1000,-28.1319,304.764,46.1807,77.8939,376.714,-18.7704,357.944,0.690042,10.8733,8.00832,8.00626
11,22.5,-20,0,500,-0.01,90.7432,-17.2588,34.4024,-2.59607,95.816,-16.0509,79.7651,-3.43377,-0.307059,-2.67325,-2.67489
12,22.5,-20,0,500,-250,90.3425,-16.602,33.9751,-0.833229,99.5654,-15.9803,83.5851,-3.44059,-0.225782,-2.8371,-2.8388
13,22.5,-20,0,500,-500,84.0273,52.155,35.2066,10.9639,174.594,-16.4936,158.1,-3.34632,2.54029,-0.744559,-0.746436
14,22.5,-20,0,500,-750,68.0942,162.769,42.0845,38.3244,297.598,-18.1331,279.465,-3.02674,6.4669,2.53072,2.52891
