# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,25,-25,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,25,-25,0,0.01,-250,-3.4345,21.3692,0.502526,6.93954,22.3402,2.692,25.0322,0.113651,0.919502,0.750127,0.747119
3,25,-25,0,0.01,-500,-13.5646,89.055,9.08454,33.1378,110.31,-9.53973,100.77,0.438299,3.73681,3.01914,3.01749
4,25,-25,0,0.01,-750,-30.2091,203.199,28.2587,79.2294,264.489,-15.106,249.383,0.971581,8.42728,6.76304,6.76116
5,25,-25,0,0.01,-1000,-53.0921,364.243,57.8542,145.021,485.861,-26.0307,459.83,1.70434,14.9864,11.9293,11.9268
6,25,-25,0,250,-0.01,24.6515,-4.43694,8.55739,-1.47378,23.4061,0.547722,23.9538,-1.02591,-0.105426,-0.832401,-0.83548
7,25,-25,0,250,-250,22.0982,18.9804,8.56021,4.08332,50.0686,-1.13861,48.93,-0.989569,1.0025,-0.00136321,-0.0046312
8,25,-25,0,250,-500,7.36235,95.6284,19.6813,27.4658,140.851,-11.7922,129.058,-0.558204,4.13638,2.65092,2.64919
9,25,-25,0,250,-750,-15.1405,215.422,40.7911,70.3635,291.428,-16.9535,274.474,0.293228,8.98259,6.7524,6.75053
10,25,-25,0,250,-1000,-39.5363,378.331,73.6814,130.459,508.145,-27.758,480.387,1.22346,15.618,12.0599,12.0574
