# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-30,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,22.5,-30,0,0.01,-250,-4.62753,26.642,1.00986,10.0945,29.3049,1.67016,30.975,0.135152,1.29159,1.06471,1.06166
3,22.5,-30,0,0.01,-500,-18.6552,110.494,13.1575,48.2929,142.452,-11.8732,130.579,0.536548,5.26494,4.31159,4.3098
4,22.5,-30,0,0.01,-750,-41.748,251.276,39.2261,115.756,340.536,-20.4022,320.134,1.19763,11.8641,9.63658,9.63427
5,22.5,-30,0,0.01,-1000,-73.8257,448.274,79.4085,212.523,624.117,-35.6078,588.509,2.11455,21.0638,17.0747,17.0714
6,22.5,-30,0,250,-0.01,21.9894,-3.91602,6.47996,-1.15449,19.8683,0.905086,20.7734,-0.858171,-0.129822,-0.700629,-0.703637
7,22.5,-30,0,250,-250,16.4743,27.2183,7.14916,8.7253,55.5872,-1.47385,54.1133,-0.753454,1.49556,0.532387,0.529152
8,22.5,-30,0,250,-500,-5.63514,118.037,23.4512,45.4413,167.893,-13.9759,153.917,-0.0777179,5.74996,4.14742,4.14555
9,22.5,-30,0,250,-750,-34.5778,260.463,53.1962,109.524,359.461,-22.6625,336.798,0.914975,12.4644,9.72938,9.72706
10,22.5,-30,0,250,-1000,-64.4264,455.383,97.9662,202.688,640.608,-38.3289,602.279,1.88935,21.7475,17.0153,17.0119
11,22.5,-30,0,500,-0.01,90.7698,-14.5692,34.2225,-2.71257,98.4591,-16.1656,82.2935,-3.44144,-0.472182,-2.72187,-2.72345
12,22.5,-30,0,500,-250,87.5419,11.7069,34.4095,4.14839,129.581,-16.7586,112.822,-3.40183,0.981616,-1.86886,-1.87056
13,22.5,-30,0,500,-500,68.9092,115.188,41.6523,43.2306,258.117,-19.6052,238.512,-3.04152,6.15599,2.23798,2.23592
14,22.5,-30,0,500,-750,32.1274,271.724,76.6463,107.295,458.429,-28.6051,429.824,-2.03457,13.4117,8.35979,8.35735
15,22.5,-30,0,500,-1000,-18.7518,476.639,121.301,201.23,728.058,-43.1847,684.873,-0.371133,22.873,16.3048,16.3015
16,22.5,-30,0,750,-0.01,205.576,-31.511,84.7084,-5.26149,232.866,-29.091,203.775,-7.70841,-0.989347,-5.94324,-5.94496
17,22.5,-30,0,750,-250,202.959,-6.73342,85.2672,1.92198,264.376,-29.7162,234.66,-7.68862,0.233083,-5.1707,-5.17251
18,22.5,-30,0,750,-500,189.761,93.1238,89.9767,33.8261,389.218,-32.5012,356.717,-7.48647,5.67656,-1.56,-1.56213
19,22.5,-30,0,750,-750,157.566,265.738,105.362,105.72,610.765,-38.8788,571.886,-6.84981,14.018,5.18993,5.18729
20,22.5,-30,0,750,-1000,105.6,479.319,146.661,203.625,892.088,-52.3163,839.772,-5.49892,23.989,14.1785,14.175
21,22.5,-30,0,1000,-0.01,366.707,-54.5112,157.953,-8.72927,424.033,-49.9723,374.061,-13.6585,-1.64538,-10.2568,-10.259
22,22.5,-30,0,1000,-250,363.118,-22.6491,159.592,-0.79389,461.899,-50.5389,411.36,-13.6318,-0.158501,-8.59274,-8.59503
23,22.5,-30,0,1000,-500,351.77,55.7332,166.081,27.3274,569.663,-53.3092,516.353,-13.4705,4.23387,-7.16805,-7.17061
24,22.5,-30,0,1000,-750,327.679,238.364,174.92,90.5352,802.059,-58.9992,743.06,-13.0796,13.6168,0.08611,0.0830538
25,22.5,-30,0,1000,-1000,282.868,476.604,198.518,194.763,1111.32,-68.0029,1043.31,-12.1826,24.9868,9.32211,9.31844
26,22.5,-30,2.5,0.01,-0.01,-1.89927,-1.53993,-3.78893,-0.981958,-8.5998,-0.972189,-9.57199,0.0593837,-0.0525396,-0.024642,-0.0240986
27,22.5,-30,2.5,0.01,-250,-4.51716,28.7645,-3.60324,7.43467,27.184,-5.30321,21.8808,0.142205,1.31783,1.07642,1.07659
28,22.5,-30,2.5,0.01,-500,-17.765,108.298,2.44339,40.6055,125.457,-15.8211,109.636,0.525446,5.05416,4.01462,4.01388
29,22.5,-30,2.5,0.01,-750,-42.4063,248.075,21.7621,103.267,307.192,-29.7133,277.479,1.22309,11.7366,9.45082,9.44901
30,22.5,-30,2.5,0.01,-1000,-75.5626,445.714,54.6137,195.15,575.941,-48.2429,527.699,2.16444,21.0427,16.8216,16.8186
31,22.5,-30,2.5,250,-0.01,32.3006,-2.37022,1.28873,-2.62813,28.2853,-7.28532,21,-0.964447,-0.0853491,-1.09124,-1.09091
32,22.5,-30,2.5,250,-250,13.6566,25.667,2.59493,5.5801,44.868,-9.31437,35.5537,-0.665601,1.44437,0.567274,0.567037
33,22.5,-30,2.5,250,-500,-6.86211,115.131,12.4094,39.2659,148.553,-19.143,129.41,-0.0321658,5.63844,4.10867,4.10775
34,22.5,-30,2.5,250,-750,-36.193,258.605,35.2749,96.4139,324.279,-32.6617,291.617,0.9753,12.4389,9.5285,9.52662
35,22.5,-30,2.5,250,-1000,-65.3375,454.833,72.4829,184.26,593.252,-52.0977,541.154,1.90783,21.7998,16.6584,16.6553
36,22.5,-30,2.5,500,-0.01,87.5518,-16.5332,23.1845,-6.77629,76.9821,-17.6896,59.2925,-3.37924,-0.514791,-2.86711,-2.86771
