# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,20,-30,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,20,-30,0,0.01,-250,-4.6764,26.5307,0.999364,10.1362,29.7929,1.60376,31.3967,0.121437,1.27717,1.04646,1.04419
3,20,-30,0,0.01,-500,-18.9124,110.022,12.7114,48.5167,142.599,-11.7422,130.857,0.481339,5.20755,4.25488,4.25327
4,20,-30,0,0.01,-750,-42.5171,250.332,38.1628,116.357,340.39,-20.8353,319.555,1.07863,11.7536,9.51678,9.51458
5,20,-30,0,0.01,-1000,-75.3456,446.546,77.421,213.601,623.156,-36.3271,586.829,1.90797,20.8765,16.8373,16.8342
6,20,-30,0,250,-0.01,19.2174,-3.82863,4.87617,-1.12598,16.3758,1.5345,17.9103,-0.708926,-0.133092,-0.611244,-0.613451
7,20,-30,0,250,-250,12.4211,26.6841,6.01085,9.37024,50.8758,-0.964442,49.9114,-0.576807,1.45307,0.659585,0.657129
8,20,-30,0,250,-500,-11.558,116.668,21.0673,48.0867,161.723,-13.5123,148.21,0.0891133,5.66552,4.23783,4.23618
9,20,-30,0,250,-750,-41.0907,259.192,51.1293,112.88,354.378,-23.0636,331.315,0.992307,12.3929,9.65219,9.64996
10,20,-30,0,250,-1000,-71.0251,453.542,95.6359,206.671,636.405,-39.6733,596.732,1.83299,21.6399,16.5634,16.5602
11,20,-30,0,500,-0.01,79.477,-14.3647,26.5942,-2.74123,81.2751,-13.4349,67.8403,-2.83333,-0.483656,-2.43604,-2.43737
12,20,-30,0,500,-250,75.4084,14.9245,26.8327,6.34773,117.017,-14.5019,102.515,-2.77306,1.11999,-1.16705,-1.16851
13,20,-30,0,500,-500,52.3927,113.406,35.6031,46.6471,237.202,-18.7357,218.467,-2.31797,6.00069,2.75448,2.75264
14,20,-30,0,500,-750,12.0626,266.374,72.5801,111.647,433.958,-28.4708,405.488,-1.28058,13.093,8.7254,8.72305
15,20,-30,0,500,-1000,-43.2387,471.172,111.904,211.349,701.578,-42.6758,658.903,0.327078,22.5541,16.5697,16.5665
16,20,-30,0,750,-0.01,179.958,-32.2009,66.5653,-5.50619,191.187,-24.0156,167.171,-6.33453,-1.07354,-5.57857,-5.58004
17,20,-30,0,750,-250,176.797,-4.19817,67.8245,2.19814,225.613,-25.2034,200.41,-6.2999,0.351644,-3.86283,-3.86443
18,20,-30,0,750,-500,160.391,97.1277,71.933,40.3965,355.578,-29.0291,326.549,-6.02727,5.74864,-0.00469026,-0.00662288
19,20,-30,0,750,-750,120.451,261.631,90.305,114.524,562.802,-36.5503,526.252,-5.22285,13.6675,6.28989,6.28737
20,20,-30,0,750,-1000,66.6475,468.082,147.765,204.183,840.076,-52.4138,787.662,-3.87961,23.2984,14.6784,14.6751
21,20,-30,0,1000,-0.01,321.306,-56.2279,124.871,-9.62256,347.177,-41.0534,306.123,-11.216,-1.83218,-9.92086,-9.92264
22,20,-30,0,1000,-250,316.721,-21.0331,127.65,2.12439,391.575,-43.0993,348.476,-11.1711,-0.0802795,-6.94519,-6.94714
23,20,-30,0,1000,-500,304.368,68.93,133.595,35.2738,516.247,-46.118,470.129,-10.97,4.81271,-4.33487,-4.33711
24,20,-30,0,1000,-750,272.411,242.713,142.62,103.702,733.196,-53.7381,679.458,-10.4157,13.5614,2.41996,2.41713
25,20,-30,0,1000,-1000,216.641,469.23,170.064,211.842,1025.09,-64.0009,961.092,-9.27563,24.3593,11.1792,11.1757
26,20,-30,2.5,0.01,-0.01,-1.96564,-1.50815,-3.82574,-0.967908,-8.65665,-0.953842,-9.61049,0.0539499,-0.0508389,-0.0253267,-0.0247922
27,20,-30,2.5,0.01,-250,-4.67433,28.7216,-3.66595,7.52034,27.0145,-5.26634,21.7482,0.128639,1.31859,1.06498,1.06514
28,20,-30,2.5,0.01,-500,-18.5021,107.745,2.24079,40.8535,124.31,-15.6429,108.667,0.480648,5.04405,3.98932,3.98858
29,20,-30,2.5,0.01,-750,-44.096,248.013,21.0196,103.64,305.208,-29.3117,275.896,1.11878,11.7438,9.36116,9.35937
30,20,-30,2.5,0.01,-1000,-77.4207,443.878,52.9648,196.36,574.353,-48.7951,525.558,1.95702,20.8854,16.6262,16.6231
31,20,-30,2.5,250,-0.01,29.1362,-2.1983,0.61314,-2.51858,24.7372,-6.59325,18.1439,-0.821671,-0.0776084,-0.930679,-0.930319
32,20,-30,2.5,250,-250,10.3962,26.7649,1.78478,6.51795,43.0869,-9.00467,34.0822,-0.519227,1.466,0.708687,0.708469
33,20,-30,2.5,250,-500,-12.5126,114.994,9.71587,40.8316,141.984,-18.3449,123.639,0.119521,5.59177,4.16959,4.16869
34,20,-30,2.5,250,-750,-42.3956,257.709,32.6828,98.2982,316.753,-32.1836,284.569,1.03579,12.4084,9.56594,9.56408
35,20,-30,2.5,250,-1000,-72.224,452.119,69.9448,188.819,587.326,-53.2532,534.073,1.85634,21.6822,16.6806,16.6774
36,20,-30,2.5,500,-0.01,76.4482,-16.5629,16.7717,-6.38957,61.2491,-15.1489,46.1001,-2.78219,-0.548761,-2.50871,-2.5092
37,20,-30,2.5,500,-250,72.5827,12.1482,15.6431,1.81327,95.5525,-17.1618,78.3907,-2.72091,1.02136,-1.11615,-1.1168
