# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-22.5,0,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,22.5,-22.5,0,0.01,-250,-3.05074,18.8301,0.298077,5.53668,19.216,2.40261,21.6186,0.0909958,0.766242,0.599681,0.597465
3,22.5,-22.5,0,0.01,-500,-11.8506,79.5027,7.09396,26.1619,94.7413,-8.24611,86.4952,0.343095,3.12386,2.44017,2.43885
4,22.5,-22.5,0,0.01,-750,-26.2209,181.995,22.3918,61.5581,226.445,-12.5555,213.89,0.755546,7.04161,5.5031,5.50154
5,22.5,-22.5,0,0.01,-1000,-46.0255,326.442,46.3034,113.024,416.461,-21.3311,395.13,1.32425,12.5045,9.77532,9.77326
6,22.5,-22.5,0,250,-0.01,21.83,-4.61857,6.58789,-1.37548,19.4303,0.751251,20.1815,-0.853165,-0.104667,-0.721146,-0.723431
7,22.5,-22.5,0,250,-250,19.3486,15.2866,6.24361,3.29824,41.206,-0.730228,40.4758,-0.813851,0.785593,-0.0489705,-0.0514119
8,22.5,-22.5,0,250,-500,5.92078,83.3609,15.7575,21.6478,118.908,-10.3958,108.512,-0.455962,3.39367,2.18202,2.18063
9,22.5,-22.5,0,250,-750,-14.9529,190.876,32.0205,55.1573,246.713,-14.2515,232.461,0.242126,7.42672,5.61094,5.60941
10,22.5,-22.5,0,250,-1000,-37.4653,337.199,59.2438,102.21,433.116,-23.3651,409.751,1.01376,12.9482,9.9577,9.95563
11,22.5,-22.5,0,500,-0.01,90.3762,-17.2072,34.4531,-3.76683,94.6882,-15.5043,79.1839,-3.42925,-0.373496,-2.91353,-2.91485
12,22.5,-22.5,0,500,-250,89.7837,-9.92221,34.0825,-0.177193,105.716,-15.8629,89.8532,-3.43254,-0.0344934,-2.62624,-2.62767
13,22.5,-22.5,0,500,-500,80.7051,66.5278,36.5058,17.5836,193.267,-17.6632,175.604,-3.28485,3.22655,-0.134627,-0.136291
14,22.5,-22.5,0,500,-750,58.569,184.285,48.4026,53.3675,328.823,-20.265,308.558,-2.78709,7.71749,3.85255,3.8508
15,22.5,-22.5,0,500,-1000,28.6331,342.568,81.8223,97.3608,520.671,-29.1774,491.493,-1.92384,13.5751,8.82208,8.81992
16,22.5,-22.5,0,750,-0.01,204.489,-38.2308,84.5483,-7.89231,221.795,-28.4635,193.332,-7.67612,-0.817656,-6.56269,-6.56423
17,22.5,-22.5,0,750,-250,203.73,-32.1589,84.844,-2.23138,233.631,-29.268,204.363,-7.6919,-0.601109,-5.86916,-5.87076
18,22.5,-22.5,0,750,-500,198.248,23.7079,88.0486,11.4738,304.478,-30.4258,274.052,-7.61294,1.93385,-4.34799,-4.34972
19,22.5,-22.5,0,750,-750,183.768,156.314,92.7474,43.81,459.669,-33.7243,425.945,-7.38058,7.38279,-0.188224,-0.190292
20,22.5,-22.5,0,750,-1000,155.675,322.859,106.727,97.1737,655.678,-39.8934,615.785,-6.81228,13.7398,5.39169,5.38924
21,22.5,-22.5,0,1000,-0.01,364.616,-66.5699,157.149,-13.7407,402.46,-48.9195,353.541,-13.5951,-1.36619,-11.547,-11.5489
22,22.5,-22.5,0,1000,-250,362.615,-50.1824,158.194,-6.39022,426.525,-50.2527,376.272,-13.6043,-0.430686,-10.1255,-10.1276
23,22.5,-22.5,0,1000,-500,359.517,-31.6087,163.144,3.21054,463.344,-50.984,412.36,-13.5658,0.0827324,-10.1264,-10.1285
24,22.5,-22.5,0,1000,-750,349.341,98.8026,167.118,38.0192,622.26,-54.5908,567.669,-13.4311,5.77535,-6.14394,-6.14643
25,22.5,-22.5,0,1000,-1000,328.787,282.68,174.847,81.714,838.532,-58.9094,779.623,-13.0979,13.1604,-0.323318,-0.326207
26,22.5,-22.5,2.5,0.01,-0.01,-1.85355,-1.75153,-3.81133,-1.01495,-8.84767,-0.903421,-9.75109,0.0580677,-0.0430584,-0.020227,-0.0197452
27,22.5,-22.5,2.5,0.01,-250,-4.06256,16.3078,-3.08052,1.89009,9.68455,-3.24538,6.43917,0.121298,0.70712,0.511961,0.512002
28,22.5,-22.5,2.5,0.01,-500,-12.4811,77.5862,-0.994038,18.0061,76.1078,-9.48425,66.6236,0.362761,3.091,2.4073,2.40682
29,22.5,-22.5,2.5,0.01,-750,-26.8008,181.733,8.55458,49.3069,199.322,-19.1211,180.2,0.772986,7.05604,5.52813,5.52697
30,22.5,-22.5,2.5,0.01,-1000,-46.5244,327.95,26.1804,96.3451,380.385,-31.6697,348.715,1.33887,12.5632,9.90034,9.89832
31,22.5,-22.5,2.5,250,-0.01,19.3243,-5.76363,1.50993,-3.07721,9.2015,-5.41039,3.7911,-0.794671,-0.126015,-0.633743,-0.633823
32,22.5,-22.5,2.5,250,-250,17.8591,11.7523,0.260604,0.180488,28.3114,-6.56852,21.7429,-0.770547,0.676203,-0.0991293,-0.0993262
33,22.5,-22.5,2.5,250,-500,4.70349,82.6733,6.6369,13.4727,100.444,-12.659,87.7854,-0.41497,3.37476,2.14697,2.14635
34,22.5,-22.5,2.5,250,-750,-15.8767,192.726,17.1264,43.6198,221.737,-21.6588,200.078,0.276237,7.47657,5.54373,5.54251
35,22.5,-22.5,2.5,250,-1000,-37.9064,340.273,38.2552,86.7337,399.658,-34.5443,365.113,1.03249,13.021,10.0053,10.0032
36,22.5,-22.5,2.5,500,-0.01,89.8238,-18.6653,22.44,-6.78524,76.1302,-17.4399,58.6903,-3.41241,-0.386729,-2.60253,-2.60317
37,22.5,-22.5,2.5,500,-250,88.3802,-11.5267,21.5254,-3.05604,87.5627,-18.4131,69.1496,-3.39916,-0.0835698,-2.52972,-2.53044
38,22.5,-22.5,2.5,500,-500,79.1475,63.5883,22.5179,10.9035,169.015,-21.8907,147.124,-3.23837,3.14044,-0.157758,-0.158728
39,22.5,-22.5,2.5,500,-750,57.2266,185.612,32.8265,40.4226,300.712,-29.7338,270.979,-2.73527,7.74594,3.88928,3.88778
40,22.5,-22.5,2.5,500,-1000,27.583,346.441,60.872,80.0631,486.204,-42.3239,443.88,-1.88847,13.6558,8.74708,8.74482
41,22.5,-22.5,2.5,750,-0.01,203.694,-38.5297,67.2889,-10.0548,199.371,-36.6096,162.762,-7.6573,-0.771434,-5.89752,-5.89885
42,22.5,-22.5,2.5,750,-250,202.343,-34.3067,66.3013,-4.45173,209.52,-37.5711,171.949,-7.65924,-0.671861,-5.53243,-5.53385
43,22.5,-22.5,2.5,750,-500,198.296,20.1356,66.2046,5.24223,273.058,-40.0711,232.987,-7.60164,1.80506,-4.62176,-4.62337
44,22.5,-22.5,2.5,750,-750,181.99,153.865,69.8482,33.7656,423.484,-45.117,378.367,-7.32527,7.30968,-0.190387,-0.192342
45,22.5,-22.5,2.5,750,-1000,154.095,324.721,81.4851,81.0075,615.957,-54.6911,561.266,-6.7495,13.7811,5.47975,5.47715
46,22.5,-22.5,2.5,1000,-0.01,364.226,-65.979,134.819,-16.8249,375.166,-61.5529,313.614,-13.5833,-1.29398,-10.5442,-10.5464
47,22.5,-22.5,2.5,1000,-250,362.512,-52.3873,133.841,-8.30394,398.75,-62.7416,336.009,-13.5951,-0.535119,-9.32769,-9.32994
48,22.5,-22.5,2.5,1000,-500,360.821,-31.9671,133.863,0.849291,433.82,-64.4836,369.337,-13.5819,0.0756154,-10.0205,-10.0229
49,22.5,-22.5,2.5,1000,-750,349.074,96.155,136.08,25.5721,576.383,-69.6395,506.743,-13.4062,5.67766,-6.42039,-6.42312
50,22.5,-22.5,2.5,1000,-1000,326.875,280.62,142.874,68.2324,790.255,-75.7765,714.478,-13.0301,13.0936,-0.289623,-0.29275
51,22.5,-22.5,5,0.01,-0.01,-7.77015,-8.20113,-27.1863,-3.46218,-47.9292,1.26562,-46.6636,0.226045,-0.192025,0.21989,0.220748
52,22.5,-22.5,5,0.01,-250,-10.8762,6.85234,-19.4845,-5.22395,-30.6398,-2.59802,-33.2378,0.317811,0.519024,0.410177,0.410637
53,22.5,-22.5,5,0.01,-500,-17.5368,62.0972,-13.2934,5.95236,31.1008,-8.25102,22.8498,0.512883,2.72525,1.93598,1.93606
54,22.5,-22.5,5,0.01,-750,-30.224,170.037,-13.6185,25.8754,138.819,-17.9445,120.874,0.876488,6.80861,5.16279,5.16222
55,22.5,-22.5,5,0.01,-1000,-50.0507,318.687,-7.75882,64.9458,301.921,-31.6443,270.277,1.44003,12.4043,9.52715,9.5256
56,22.5,-22.5,5,250,-0.01,3.9425,-10.0774,-14.9788,0.727944,-23.1849,-4.97694,-28.1618,-0.354807,-0.250865,-0.210455,-0.209876
57,22.5,-22.5,5,250,-250,-0.892078,3.84824,-8.68853,-6.09351,-13.4227,-9.47241,-22.8951,-0.212079,0.398904,0.204017,0.204293
58,22.5,-22.5,5,250,-500,-4.07757,66.5196,-8.14161,2.18868,49.4435,-12.0547,37.3888,-0.11588,2.98918,1.91327,1.91323
59,22.5,-22.5,5,250,-750,-20.2801,182.624,-6.88324,20.8243,161.004,-21.3901,139.614,0.433187,7.27663,5.2689,5.26816
60,22.5,-22.5,5,250,-1000,-40.24,333.098,2.20053,57.0852,324.875,-35.5577,289.318,1.11732,12.9096,9.61214,9.61043
61,22.5,-22.5,5,500,-0.01,72.8834,-24.3863,4.03183,-5.73882,35.9195,-19.6099,16.3096,-3.03648,-0.544666,-2.30939,-2.30964
62,22.5,-22.5,5,500,-250,76.5363,-16.4863,1.40005,-9.55043,44.0357,-19.3144,24.7212,-3.13068,-0.241553,-2.1507,-2.15098
63,22.5,-22.5,5,500,-500,70.7365,45.9603,-0.958039,-0.126711,108.928,-22.5469,86.3815,-3.02381,2.60018,-0.416399,-0.417016
64,22.5,-22.5,5,500,-750,51.8055,174.559,5.91361,15.8515,234.535,-31.6391,202.896,-2.57225,7.4648,3.74931,3.74805
65,22.5,-22.5,5,500,-1000,21.3794,339.365,21.3942,49.2707,404.751,-45.1344,359.617,-1.68431,13.4773,8.60222,8.60011
66,22.5,-22.5,5,750,-0.01,197.283,-47.8809,29.9776,-18.9993,135.208,-38.2544,96.9534,-7.50106,-1.04545,-5.83584,-5.83697
67,22.5,-22.5,5,750,-250,198.502,-37.6419,28.2589,-16.1916,150.876,-38.8762,111.999,-7.54274,-0.762798,-5.06288,-5.06409
68,22.5,-22.5,5,750,-500,192.106,7.74791,26.764,-7.56278,202.76,-41.7741,160.986,-7.44601,1.37179,-4.61282,-4.61426
69,22.5,-22.5,5,750,-750,175.284,141.258,27.7499,12.5348,341.882,-48.5158,293.366,-7.14221,6.94122,-0.311409,-0.313337
70,22.5,-22.5,5,750,-1000,147.14,316.884,35.4636,49.7462,525.78,-58.8653,466.915,-6.52987,13.5711,5.43126,5.42864
71,22.5,-22.5,5,1000,-0.01,362.441,-77.9482,79.4893,-24.9381,295.094,-65.5824,229.512,-13.5053,-1.63522,-10.2728,-10.275
72,22.5,-22.5,5,1000,-250,361.747,-51.8111,77.8484,-19.3197,327.93,-66.5484,261.381,-13.5152,-0.482956,-8.14332,-8.14566
73,22.5,-22.5,5,1000,-500,355.119,-36.6313,77.695,-11.9943,354.706,-69.0875,285.618,-13.4211,-0.10002,-9.85046,-9.85297
74,22.5,-22.5,5,1000,-750,342.758,82.8734,77.9895,5.50121,479.283,-73.8786,405.404,-13.2274,5.21915,-6.72597,-6.72883
75,22.5,-22.5,5,1000,-1000,319.764,269.395,81.913,39.4334,683.289,-82.1979,601.091,-12.8244,12.7563,-0.385522,-0.388961
76,22.5,-22.5,7.5,0.01,-0.01,-17.2232,-19.1237,-46.2816,-5.90965,-88.0827,-18.8418,-106.925,0.514743,-0.441511,0.0860633,0.0951904
77,22.5,-22.5,7.5,0.01,-250,-19.5386,-13.0608,-44.3077,-6.58209,-82.9235,-20.4263,-103.35,0.580482,-0.110289,-0.0437719,-0.0346833
78,22.5,-22.5,7.5,0.01,-500,-29.6799,48.0451,-41.7794,3.83254,-23.7254,-29.6857,-53.4111,0.868272,2.46629,1.71541,1.72369
79,22.5,-22.5,7.5,0.01,-750,-38.7008,145.346,-28.5857,11.2758,79.4976,-37.973,41.5246,1.13716,6.20508,4.4373,4.44516
80,22.5,-22.5,7.5,0.01,-1000,-55.7806,294.537,-30.4104,37.8554,226.46,-50.567,175.893,1.6247,11.8285,8.86207,8.86919
81,22.5,-22.5,7.5,250,-0.01,-15.8987,-17.655,-35.7694,-6.25133,-76.9465,-24.8246,-101.771,0.324346,-0.499047,-0.250119,-0.241053
82,22.5,-22.5,7.5,250,-250,-19.4467,-15.4717,-31.9237,-8.10593,-73.4785,-27.4921,-100.971,0.436957,-0.29291,-0.050821,-0.0418192
83,22.5,-22.5,7.5,250,-500,-25.3662,49.8132,-24.2194,-6.51846,-10.438,-35.9371,-46.3752,0.633225,2.61297,2.05961,2.06797
84,22.5,-22.5,7.5,250,-750,-28.6952,159.834,-22.0647,3.98592,99.537,-41.3927,58.1442,0.736479,6.85271,4.81476,4.82262
