# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-25,0,750,-750,175.675,192.35,96.4712,63.3343,509.458,-35.3974,474.061,-7.23357,9.32238,1.342,1.33956
2,22.5,-25,0,750,-1000,138.889,372.482,117.617,132.737,730.597,-43.5061,687.09,-6.41403,16.6956,7.98972,7.98695
3,22.5,-25,0,750,-1250,100.704,633.263,149.266,206.182,1037.95,-46.6092,991.339,-5.35847,26.6323,16.3673,16.3624
4,22.5,-25,0,750,-1500,49.7364,909.538,210.198,290.134,1388.79,-61.3204,1327.47,-3.78827,37.3523,25.1849,25.1791
5,22.5,-25,0,1000,-750,328.016,139.388,170.559,53.4582,660.511,-55.8747,604.636,-13.0561,7.86527,-4.15186,-4.15435
6,22.5,-25,0,1000,-1000,317.393,309.421,218.009,117.117,924.411,-64.1592,860.252,-16.4976,15.6448,-1.93661,-1.93799
7,22.5,-25,0,1000,-1250,277.808,604.137,201.97,196.863,1235.58,-63.3531,1172.22,-12.0572,26.7573,11.9272,11.9221
8,22.5,-25,0,1000,-1500,224.404,913.918,237.431,303.374,1603.09,-75.4953,1527.59,-10.7488,38.8713,21.7489,21.7429
9,22.5,-25,0,1250,-750,556.728,87.1323,264.459,34.039,895.883,-73.545,822.338,-21.0886,5.97449,-12.6897,-12.6942
10,22.5,-25,0,1250,-1000,534.534,295.801,271.507,97.0939,1150.21,-78.269,1071.94,-20.779,15.3494,-5.72398,-5.7289
11,22.5,-25,0,1250,-1250,500.798,559.183,289.565,177.531,1479.54,-86.1775,1393.37,-20.2369,26.3034,4.17941,4.17385
12,22.5,-25,0,1250,-1500,447.804,866.019,320.179,283.643,1853.13,-98.0101,1755.12,-19.0736,38.5602,15.7028,15.6965
13,22.5,-25,0,1500,-750,808.953,10.3861,394.675,27.8392,1174.72,-106.161,1068.56,-30.6326,3.15903,-21.6141,-21.6192
14,22.5,-25,0,1500,-1000,786.445,220.628,400.921,73.9536,1413.86,-110.262,1303.6,-29.9558,12.8806,-14.7534,-14.7589
15,22.5,-25,0,1500,-1250,760.315,490.25,410.06,152.03,1743.62,-115.549,1628.07,-29.5567,24.6736,-5.89622,-5.9023
16,22.5,-25,0,1500,-1500,723.81,809.699,425.37,257.845,2148.91,-123.979,2024.93,-28.9687,37.9116,6.21515,6.20834
17,22.5,-25,2.5,750,-750,173.614,189.985,72.8462,51.5605,470.67,-47.7946,422.875,-7.16911,9.24613,1.36045,1.3584
18,22.5,-25,2.5,750,-1000,137.151,373.215,92.2651,112.647,685.785,-59.6601,626.125,-6.3395,16.6896,8.20244,8.19963
19,22.5,-25,2.5,750,-1250,95.8858,626.549,123.592,179.098,974.698,-70.0258,904.672,-5.19851,26.4229,16.2137,16.2105
20,22.5,-25,2.5,750,-1500,42.536,903.775,177.841,259.476,1313.46,-86.5046,1226.96,-3.54846,37.1515,25.0463,25.0423
21,22.5,-25,2.5,1000,-750,342.309,142.753,138.103,40.3334,633.008,-71.5982,561.41,-13.306,7.96563,-4.63282,-4.63555
22,22.5,-25,2.5,1000,-1000,312.363,343.869,148.835,101.386,875.811,-79.9188,795.892,-12.7657,16.5264,2.45821,2.45491
23,22.5,-25,2.5,1000,-1250,272.446,597.1,163.681,176.043,1165.59,-86.3824,1079.21,-11.8908,26.5414,11.819,11.8156
24,22.5,-25,2.5,1000,-1500,217.51,906.402,200.405,273.747,1523.4,-101.524,1421.88,-10.5062,38.6131,21.6527,21.6485
25,22.5,-25,2.5,1250,-750,555.029,82.317,220.58,25.7055,838.395,-94.6557,743.739,-21.03,5.78836,-12.7717,-12.7747
26,22.5,-25,2.5,1250,-1000,528.783,289.08,228.926,84.4782,1083.53,-101.781,981.752,-20.6089,15.1178,-5.50727,-5.51062
27,22.5,-25,2.5,1250,-1250,489.505,551.29,246.972,161.226,1402.83,-112.483,1290.35,-19.8671,26.0497,4.51327,4.50934
28,22.5,-25,2.5,1250,-1500,441.009,857.883,271.651,258.971,1766.78,-125.522,1641.26,-18.8578,38.3016,15.5623,15.5577
29,22.5,-25,2.5,1500,-750,807.341,7.08184,337.153,17.6198,1104.27,-129.63,974.642,-30.2717,3.02216,-21.5599,-21.5636
30,22.5,-25,2.5,1500,-1000,790.634,212.978,339.325,66.6898,1343.14,-134.847,1208.29,-30.1113,12.6128,-15.2272,-15.2313
31,22.5,-25,2.5,1500,-1250,753.662,480.663,355.833,143.638,1665.31,-144.561,1520.75,-29.453,24.3764,-5.55914,-5.5637
32,22.5,-25,2.5,1500,-1500,707.336,800.955,376.794,238.503,2056.96,-156.624,1900.34,-28.5972,37.6242,6.61287,6.60767
33,22.5,-25,5,750,-750,166.398,178.501,29.592,26.6462,385.394,-51.6504,333.744,-6.96467,8.89186,1.32748,1.32559
34,22.5,-25,5,750,-1000,131.554,369.162,43.541,75.3877,592.65,-64.4379,528.213,-6.14842,16.5623,8.25348,8.25076
35,22.5,-25,5,750,-1250,86.1751,611.433,80.0352,133.234,866.326,-116.557,749.769,-4.90453,26.0085,15.888,15.8967
36,22.5,-25,5,750,-1500,29.2494,890.37,117.402,210.383,1182.2,-136.81,1045.39,-3.11623,36.8036,24.7299,24.7374
37,22.5,-25,5,1000,-750,335.84,132.05,78.6077,17.2462,533.918,-76.3377,457.58,-13.1253,7.58311,-4.83252,-4.83529
38,22.5,-25,5,1000,-1000,304.667,334.028,86.1851,67.3932,763.716,-87.0835,676.633,-12.5362,16.2068,2.51135,2.50787
39,22.5,-25,5,1000,-1250,261.19,579.616,103.166,136.013,1043.26,-134.411,908.848,-11.6582,26.0527,11.4782,11.4863
40,22.5,-25,5,1000,-1500,204.886,889.267,139.96,219.033,1385.02,-153.623,1231.4,-10.1059,38.1,21.4224,21.4294
41,22.5,-25,5,1250,-750,547.184,65.3026,153.222,6.02342,732.444,-141.926,590.517,-20.7892,5.14233,-12.6548,-12.646
42,22.5,-25,5,1250,-1000,520.737,274.768,158.267,53.4868,965.93,-150.928,815.001,-20.3482,14.6334,-5.41659,-5.40845
43,22.5,-25,5,1250,-1250,482.022,534.449,170.088,121.95,1269.38,-162.884,1106.49,-19.6285,25.5415,4.07771,4.08503
44,22.5,-25,5,1250,-1500,432.763,838.576,190.86,211.155,1617.12,-178.672,1438.45,-18.6388,37.7529,15.1717,15.1781
45,22.5,-25,5,1500,-750,802.574,-6.23374,250.853,1.45124,989.7,-179.919,809.781,-30.1358,2.49841,-21.5062,-21.4987
46,22.5,-25,5,1500,-1000,780.927,197.298,255.713,37.9783,1211.08,-187.268,1023.81,-29.7688,12.0274,-14.8741,-14.8671
47,22.5,-25,5,1500,-1250,748.796,464.816,264.425,104.731,1520.86,-198.173,1322.68,-29.2183,23.8558,-5.82183,-5.81551
48,22.5,-25,5,1500,-1500,703.085,782.872,280.698,190.369,1897.67,-212.021,1685.65,-28.3774,37.0686,5.94825,5.95379
49,22.5,-25,7.5,750,-750,154.414,155.254,-0.720808,4.51881,301.842,-72.4415,229.401,-6.64751,8.18903,0.897618,0.904081
50,22.5,-25,7.5,750,-1000,120.003,346.49,13.6435,40.6314,498.707,-88.7347,409.973,-5.8245,15.9759,7.83991,7.84527
51,22.5,-25,7.5,750,-1250,66.0837,577.102,43.0536,96.8851,735.384,-113.448,621.936,-4.27751,25.0575,15.2257,15.2309
52,22.5,-25,7.5,750,-1500,16.1454,871.844,60.9386,166.064,1047.32,-133.597,913.721,-2.68832,36.4065,24.4223,24.4262
53,22.5,-25,7.5,1000,-750,324.758,105.118,33.8024,-1.36101,436.846,-99.151,337.695,-12.8654,6.62287,-5.1785,-5.17323
54,22.5,-25,7.5,1000,-1000,292.604,311.326,38.4861,38.1974,656.697,-111.825,544.872,-12.2192,15.5605,2.25923,2.26361
55,22.5,-25,7.5,1000,-1250,247.778,558.362,51.966,94.9598,916.158,-130.63,785.528,-11.1805,25.5155,11.256,11.2606
56,22.5,-25,7.5,1000,-1500,204.412,845.115,90.2027,164.28,1239.23,-155.648,1083.58,-11.7565,36.8659,19.2414,19.2447
57,22.5,-25,7.5,1250,-750,538.641,46.3937,91.5493,-11.2991,624.37,-135.93,488.44,-20.6644,4.44694,-12.4234,-12.4183
58,22.5,-25,7.5,1250,-1000,510.791,252.217,93.300299999999993,25.6787,839.829,-146.086,693.743,-20.1192,13.9207,-5.69134,-5.68692
59,22.5,-25,7.5,1250,-1250,469.884,511.381,102.067,85.7161,1129.53,-160.84,968.686,-19.3253,24.912,3.80412,3.80751
60,22.5,-25,7.5,1250,-1500,416.058,817.102,121.202,163.755,1462.88,-179.237,1283.64,-18.1255,37.2128,14.498,14.5003
61,22.5,-25,7.5,1500,-750,794.291,-13.6774,172.978,-17.7384,874.374,-177.514,696.86,-29.9169,2.26968,-20.2456,-20.2421
62,22.5,-25,7.5,1500,-1000,773.208,172.888,174.059,12.5555,1070.88,-185.448,885.434,-29.6538,11.1541,-15.314,-15.311
63,22.5,-25,7.5,1500,-1250,738.802,440.859,180.141,72.0215,1369.27,-198.756,1170.51,-29.0057,23.1385,-5.88689,-5.88478
64,22.5,-25,7.5,1500,-1500,687.875,758.524,193.333,149.39,1729.38,-215.128,1514.25,-28.0171,36.4215,5.74007,5.74111
65,22.5,-25,10,750,-750,116.749,113.875,-4.55934,-11.7472,201.596,-75.4138,126.182,-5.66327,6.76165,1.09462,1.10025
66,22.5,-25,10,750,-1000,98.2192,314.687,-2.61457,6.5927,394.418,-86.4534,307.964,-5.18225,15.0841,7.32136,7.32606
67,22.5,-25,10,750,-1250,56.7778,561.398,3.59863,54.6576,628.754,-101.763,526.99,-3.97466,24.7614,15.1957,15.1973
68,22.5,-25,10,750,-1500,2.44047,846.554,13.5832,124.063,916.099,-124.693,791.406,-2.22652,35.8925,24.0552,24.0553
69,22.5,-25,10,1000,-750,305.056,73.3694,-1.78404,-17.3946,332.23,-93.3734,238.857,-12.3803,5.46409,-5.01312,-5.00831
70,22.5,-25,10,1000,-1000,276.186,279.095,0.791217,8.92165,540.739,-106.693,434.046,-11.7712,14.5785,1.57708,1.58087
71,22.5,-25,10,1000,-1250,225.889,524.49,14.6445,53.9164,781.624,-121.87,659.754,-10.7996,24.6211,10.243,10.2437
72,22.5,-25,10,1000,-1500,168.005,803.443,66.9055,114.656,1089.61,-155.21,934.398,-9.05096,35.6869,20.2916,20.2811
73,22.5,-25,10,1250,-750,522.7,26.9627,41.394,-28.9918,517.541,-124.901,392.64,-20.2592,3.78518,-11.67,-11.6686
74,22.5,-25,10,1250,-1000,495.841,213.773,41.7783,2.01486,710.185,-136.226,573.959,-19.7653,12.608,-6.27171,-6.27119
75,22.5,-25,10,1250,-1250,454.582,480.432,48.4011,49.8397,992.453,-153.16,839.294,-19.382,24.0713,2.95889,2.95834
76,22.5,-25,10,1250,-1500,400.583,787.921,64.7016,115.681,1313.01,-173.922,1139.09,-17.7036,36.4972,13.8003,13.7984
77,22.5,-25,10,1500,-750,783.822,-25.8252,107.894,-38.9553,759.939,-168.811,591.129,-29.7048,1.94357,-19.5919,-19.5924
78,22.5,-25,10,1500,-1000,761.93,139.877,108.369,-10.3767,935.659,-178.781,756.878,-29.7937,9.97079,-15.7301,-15.7312
79,22.5,-25,10,1500,-1250,725.296,412.29,111.112,36.4773,1221.86,-192.611,1029.24,-28.7046,22.2841,-6.21649,-6.21868
80,22.5,-25,10,1500,-1500,672.404,728.81,121.816,106.296,1568.95,-211.59,1357.36,-27.7029,35.654,5.37904,5.37557
81,22.5,-25,12.5,750,-750,51.8385,90.6711,-19.2171,-33.6026,75.3192,-77.4865,-2.16727,-3.70638,5.97269,1.73514,1.7399
82,22.5,-25,12.5,750,-1000,52.1819,259.479,-23.1332,-4.76478,260.761,-86.2545,174.507,-3.75245,13.3721,7.09811,7.10191
83,22.5,-25,12.5,750,-1250,48.6376,506.336,-12.9655,40.5706,531.097,-112.022,419.074,-3.89899,23.3432,11.8623,11.8059
84,22.5,-25,12.5,750,-1500,-15.1868,813.329,-26.9151,84.4356,783.15,-118.826,664.324,-1.61453,35.1856,23.5145,23.5143
85,22.5,-25,12.5,1000,-750,246.44,57.4747,-8.13274,-38.3009,227.037,-97.6229,129.414,-10.949,4.92288,-3.13417,-3.13038
86,22.5,-25,12.5,1000,-1000,243.749,219.458,-17.4472,-8.38223,412.237,-104.7,307.537,-10.9234,12.5718,1.08259,1.08551
87,22.5,-25,12.5,1000,-1250,204.964,487.727,2.10219,10.9673,667.979,-122.834,545.145,-9.9342,23.621,9.45952,9.45966
88,22.5,-25,12.5,1000,-1500,153.419,781.752,17.7935,64.1926,955.781,-148.17,807.612,-8.59798,35.2262,20.1304,20.1287
89,22.5,-25,12.5,1250,-750,481.699,13.9298,7.94263,-50.6295,404.206,-121.521,282.685,-19.4589,3.44773,-10.4585,-10.4578
90,22.5,-25,12.5,1250,-1000,471.117,168.468,1.14414,-17.4401,578.106,-131.566,446.54,-19.6234,11.0409,-6.66372,-6.66367
91,22.5,-25,12.5,1250,-1250,461.643,422.691,10.3589,18.081,853.802,-154.751,699.051,-23.8857,22.8391,-3.43375,-3.43587
92,22.5,-25,12.5,1250,-1500,379.861,749.522,23.5037,69.3643,1166.73,-172.954,993.775,-17.1424,35.5295,12.818,12.8151
93,22.5,-25,12.5,1500,-750,768.504,-45.1972,53.3298,-66.502,639.221,-161.85,477.371,-29.404,1.31112,-19.2704,-19.2715
94,22.5,-25,12.5,1500,-1000,744.417,104.104,53.4451,-31.8358,803.171,-174.966,628.205,-29.4489,8.73348,-15.179,-15.1811
95,22.5,-25,12.5,1500,-1250,702.82,359.432,53.2953,9.62278,1061.81,-189.508,872.297,-28.1359,20.5044,-7.06034,-7.06351
96,22.5,-25,12.5,1500,-1500,652.524,690.933,61.9578,64.2133,1409.11,-210.148,1198.96,-27.0773,34.6279,4.89502,4.89043
97,22.5,-25,15,750,-750,5.36223,65.2377,-45.3572,-56.9317,-48.5094,-71.9228,-120.432,-2.15518,5.06475,1.53883,1.54488
98,22.5,-25,15,750,-1000,-90.6829,162.14,-82.8512,-33.0054,-73.3122,-77.1105,-150.423,-10.5728,9.81642,-9.80364,-9.80397
99,22.5,-25,15,750,-1250,-7.42956,446.188,-57.908,12.4344,347.786,-95.5619,252.224,-1.78884,21.5094,13.8782,13.8819
100,22.5,-25,15,750,-1500,-38.5441,770.229,-63.4619,46.6712,641.106,-114.327,526.779,-0.775659,34.1625,22.8565,22.8586
101,22.5,-25,15,1000,-750,157.414,19.9611,6.63133,-68.0912,83.3982,-110.112,-26.7135,-8.55095,3.43249,-3.42432,-3.42099
102,22.5,-25,15,1000,-1000,145.054,192.662,-3.90872,-44.7988,262.435,-121.595,140.84,-8.17509,11.7057,2.70324,2.70549
103,22.5,-25,15,1000,-1250,143.843,414.195,-12.3957,-7.5394,501.454,-132.092,369.362,-8.28894,21.2583,9.36515,9.36631
104,22.5,-25,15,1000,-1500,136.349,707.331,-39.8883,35.3775,773.593,-141.755,631.838,-11.6082,32.9643,12.1064,12.1067
105,22.5,-25,15,1250,-750,399.045,-20.1019,18.6567,-71.5807,274.187,-137.198,136.99,-17.0933,2.1544,-8.88917,-8.88725
106,22.5,-25,15,1250,-1000,416.779,140.172,-4.71982,-48.5842,449.102,-142.677,306.425,-22.3161,10.3004,-9.25304,-9.25367
107,22.5,-25,15,1250,-1250,409.918,355.326,-17.4713,-4.7839,700.656,-153.511,547.144,-18.4791,20.0717,0.466143,0.466107
108,22.5,-25,15,1250,-1500,350.917,694.091,6.04134,19.1885,1013.75,-177.218,836.533,-17.4037,33.9557,10.3259,10.3234
109,22.5,-25,15,1500,-750,696.737,-71.0985,24.3021,-83.8289,493.024,-166.902,326.122,-27.7595,0.344018,-17.0517,-17.0513
110,22.5,-25,15,1500,-1000,689.175,73.0303,6.52046,-59.0622,638.876,-171.863,467.013,-27.8821,7.65553,-14.1437,-14.1449
111,22.5,-25,15,1500,-1250,683.969,297.24,5.94285,-14.2338,907.47,-189.995,717.474,-27.736,18.3831,-7.46796,-7.46989
112,22.5,-25,15,1500,-1500,647.209,585.79,25.8275,26.3393,1214.12,-218.889,995.233,-29.1748,31.3478,-2.60926,-2.61398
113,22.5,-25,17.5,750,-750,-41.5629,31.0135,-79.3376,-87.9409,-198.468,-71.3773,-269.845,-1.29247,3.8217,0.517518,0.527454
114,22.5,-25,17.5,750,-1000,-50.8106,214.385,-82.76,-61.3487,-8.63792,-85.6229,-94.2608,-0.254852,12.2939,7.42882,7.43669
115,22.5,-25,17.5,750,-1250,-63.7128,419.831,-97.5518,-28.2959,184.858,-97.2356,87.6219,0.193928,20.8542,14.8383,14.8445
116,22.5,-25,17.5,750,-1500,-81.7525,681.864,-99.2753,38.5511,465.796,-117.232,348.564,0.778589,31.6577,21.7682,21.7719
117,22.5,-25,17.5,1000,-750,104.902,-14.8142,-24.658,-95.839,-62.5039,-110.451,-172.955,-6.80755,1.9632,-3.79625,-3.79028
118,22.5,-25,17.5,1000,-1000,90.074,159.086,-34.8199,-77.2447,109.329,-123.255,-13.9262,-6.42056,10.5482,2.75242,2.75676
119,22.5,-25,17.5,1000,-1250,74.7628,383.082,-45.1277,-36.9895,338.692,-138.412,200.28,-5.9629,20.4376,10.2254,10.2282
120,22.5,-25,17.5,1000,-1500,75.1137,642.191,-50.059,17.9135,626.303,-151.911,474.392,-6.51553,31.2541,17.3367,17.3382
121,22.5,-25,17.5,1250,-750,304.255,-67.8997,32.9227,-105.357,110.968,-154.919,-43.9519,-14.9338,0.0955539,-9.77715,-9.77416
122,22.5,-25,17.5,1250,-1000,291.981,89.4528,27.9012,-89.422,264.597,-170.281,94.3153,-22.4517,8.63805,-12.7908,-12.7915
123,22.5,-25,17.5,1250,-1250,286.391,334.58,20.5218,-57.1261,541.841,-183.205,358.636,-14.8218,19.4127,3.93698,3.9378
124,22.5,-25,17.5,1250,-1500,257.446,601.734,-0.888731,-4.44094,800.992,-190.506,610.486,-14.1578,30.8333,10.9289,10.9281
125,22.5,-25,17.5,1500,-750,593.461,-97.8607,36.757,-105.668,345.078,-184.928,160.15,-27.0849,-0.472107,-17.2679,-17.2664
126,22.5,-25,17.5,1500,-1000,599.084,52.4551,19.2196,-88.9079,511.918,-191.751,320.168,-25.4958,6.84302,-11.3863,-11.3857
127,22.5,-25,17.5,1500,-1250,678.85,237.044,-8.55201,-51.5512,781.342,-201.513,579.829,-30.8687,16.5388,-11.0751,-11.0758
128,22.5,-25,17.5,1500,-1500,575.303,538.616,-13.453,0.718632,1042.36,-217.139,825.225,-25.0289,29.663,2.82555,2.82359
129,22.5,-25,20,750,-750,-87.5641,-4.64626,-116.811,-121.026,-350.731,-70.6457,-421.377,1.16689,2.31493,1.042,1.05657
130,22.5,-25,20,750,-1000,-84.4053,168.111,-124.811,-89.8168,-162.036,-87.7518,-249.788,-0.074864,10.7694,4.75577,4.76456
131,22.5,-25,20,750,-1250,-107.713,377.666,-132.929,-52.4546,35.6741,-105.479,-69.8046,0.237824,19.8965,13.0333,13.0572
132,22.5,-25,20,750,-1500,-207.192,586.684,-135.088,-17.064,145.525,-128.048,17.477,1.03717,29.1698,15.9602,15.9694
133,22.5,-25,20,1000,-750,307.886,-89.7247,-85.1113,-107.538,-21.5727,-99.7149,-121.288,-29.2525,-0.678647,-36.6102,-36.6133
134,22.5,-25,20,1000,-1000,33.3147,132.05,-72.3837,-102.812,-39.6996,-124.786,-164.486,-4.50138,9.66346,2.60794,2.61645
135,22.5,-25,20,1000,-1250,31.9396,347.731,-82.7029,-75.2731,184.906,-138.335,46.5712,-4.69566,19.3783,9.71736,9.724
136,22.5,-25,20,1000,-1500,-3.99454,605.176,-98.9927,-10.5518,433.282,-158.22,275.062,-3.37899,30.3227,19.3223,19.3274
137,22.5,-25,20,1250,-750,246.738,-110.565,-1.21666,-141.853,-62.2353,-157.236,-219.472,-13.0641,-1.60979,-9.21003,-9.20341
138,22.5,-25,20,1250,-1000,222.845,41.9849,7.4476,-120.768,81.4895,-181.784,-100.294,-29.5549,7.69379,-22.4569,-22.4592
139,22.5,-25,20,1250,-1250,155.437,294.224,-27.2611,-86.7254,293.072,-183.171,109.902,-16.7604,18.0861,-1.40369,-1.39974
140,22.5,-25,20,1250,-1500,184.8,560.177,-28.1911,-42.3023,622.25,-206.454,415.796,-11.3731,29.6461,12.5263,12.5283
141,22.5,-25,20,1500,-750,709.412,-164.787,-41.3608,-135.797,285.236,-184.249,100.987,-43.6778,-2.57519,-39.5545,-39.5562
142,22.5,-25,20,1500,-1000,465.3,2.47348,61.2605,-130.906,322.469,-222.93,99.539,-23.2312,4.84104,-12.4425,-12.4415
143,22.5,-25,20,1500,-1250,592.445,218.071,-30.0296,-96.3933,619.207,-209.176,410.031,-29.347,15.4305,-11.6483,-11.6452
