,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,30.0,-25.0,0.0,750,-750,268.796,183.195,161.699,40.1679,628.048,-48.7862,579.262,-13.0399,9.51797,-2.49554,-2.49813
1,30.0,-25.0,0.0,750,-750,268.796,183.195,161.699,40.1679,628.048,-48.7862,579.262,-13.0399,9.51797,-2.49554,-2.49813
2,30.0,-25.0,0.0,750,-1000,251.222,370.487,183.204,101.138,874.603,-56.8941,817.709,-12.8436,17.2823,3.20997,3.20694
3,30.0,-25.0,0.0,750,-1000,251.222,370.487,183.204,101.138,874.603,-56.8941,817.709,-12.8436,17.2823,3.20997,3.20694
4,30.0,-25.0,0.0,750,-1250,223.399,617.556,253.012,204.244,1245.77,-65.1764,1180.59,-12.1714,27.1064,9.30101,9.2992
5,30.0,-25.0,0.0,750,-1500,182.309,915.542,282.636,306.498,1615.23,-72.8784,1542.35,-10.8754,38.5314,20.7554,20.7535
6,30.0,-25.0,0.0,1000,-750,483.907,108.668,289.643,29.8045,863.141,-81.4682,781.673,-22.9943,7.2306,-11.9619,-11.9651
7,30.0,-25.0,0.0,1000,-750,483.907,108.668,289.643,29.8045,863.141,-81.4682,781.673,-22.9943,7.2306,-11.9619,-11.9651
8,30.0,-25.0,0.0,1000,-1000,477.408,332.695,299.389,74.964,1140.1,-85.3757,1054.72,-23.0983,17.0728,-4.14737,-4.15088
9,30.0,-25.0,0.0,1000,-1000,477.408,332.695,299.389,74.964,1140.1,-85.3757,1054.72,-23.0983,17.0728,-4.14737,-4.15088
10,30.0,-25.0,0.0,1000,-1250,460.484,592.27,361.995,165.944,1531.1,-88.0876,1443.01,-22.9748,27.6414,3.6075,3.60597
11,30.0,-25.0,0.0,1000,-1500,432.363,908.983,400.127,273.33,1936.44,-100.116,1836.32,-22.5673,40.1613,13.9295,13.9275
12,30.0,-25.0,0.0,1250,-750,755.666,14.8019,514.443,27.9688,1242.12,-113.991,1128.13,-35.6439,3.8009,-24.4257,-24.4271
13,30.0,-25.0,0.0,1250,-1000,749.639,249.323,517.716,65.8347,1511.66,-118.631,1393.03,-35.7413,14.6638,-16.2663,-16.2678
14,30.0,-25.0,0.0,1250,-1250,742.584,535.374,529.608,127.0,1868.58,-124.651,1743.93,-35.8888,27.0377,-5.51,-5.51186
15,30.0,-25.0,0.0,1250,-1500,725.211,850.39,556.627,227.603,2285.03,-134.609,2150.43,-35.8709,39.9749,3.72882,3.72655
16,30.0,-25.0,0.0,1500,-750,1094.06,-84.3435,745.107,23.1429,1676.06,-162.288,1513.77,-51.5245,0.377648,-37.1172,-37.119
17,30.0,-25.0,0.0,1500,-1000,1081.5,125.834,738.685,57.2121,1900.3,-166.777,1733.53,-51.2094,10.2541,-32.022,-32.0241
18,30.0,-25.0,0.0,1500,-1250,1074.73,427.592,749.942,106.132,2258.76,-172.483,2086.28,-51.3484,24.0581,-20.4775,-20.4799
19,30.0,-25.0,0.0,1500,-1500,1067.21,777.355,763.977,179.036,2693.49,-179.424,2514.06,-51.5446,39.0373,-7.60367,-7.60634
20,30.0,-25.0,2.5,750,-750,268.196,177.712,134.932,31.0093,586.152,-63.3727,522.78,-13.0199,9.32875,-2.6919,-2.6943
21,30.0,-25.0,2.5,750,-750,268.196,177.712,134.932,31.0093,586.152,-63.3727,522.78,-13.0199,9.32875,-2.6919,-2.6943
22,30.0,-25.0,2.5,750,-1000,248.313,368.098,154.467,85.902,826.456,-73.659,752.797,-12.7099,17.1883,3.21283,3.20983
23,30.0,-25.0,2.5,750,-1000,248.313,368.098,154.467,85.902,826.456,-73.659,752.797,-12.7099,17.1883,3.21283,3.20983
24,30.0,-25.0,2.5,750,-1250,215.515,618.802,182.893,164.598,1146.97,-189.769,957.203,-11.8415,27.0201,11.6179,11.6506
25,30.0,-25.0,2.5,750,-1500,170.029,903.482,215.346,261.856,1495.89,-203.774,1292.11,-10.2814,38.1271,20.6801,20.7121
26,30.0,-25.0,2.5,1000,-750,486.537,103.978,251.542,19.5318,813.415,-99.2768,714.138,-23.0526,7.05982,-12.3456,-12.349
27,30.0,-25.0,2.5,1000,-750,486.537,103.978,251.542,19.5318,813.415,-99.2768,714.138,-23.0526,7.05982,-12.3456,-12.349
28,30.0,-25.0,2.5,1000,-1000,477.546,326.792,261.546,63.5653,1085.49,-106.496,978.993,-23.092,16.8729,-4.34719,-4.35098
29,30.0,-25.0,2.5,1000,-1000,477.546,326.792,261.546,63.5653,1085.49,-106.496,978.993,-23.092,16.8729,-4.34719,-4.35098
30,30.0,-25.0,2.5,1000,-1250,455.064,577.17,288.632,136.958,1425.3,-219.927,1205.37,-22.7964,27.1428,3.05258,3.08475
31,30.0,-25.0,2.5,1000,-1500,421.709,891.792,323.566,233.248,1809.61,-234.274,1575.34,-22.1442,39.5684,13.6148,13.6463
32,30.0,-25.0,2.5,1250,-750,756.64,3.56896,418.016,14.3076,1138.12,-246.297,891.827,-35.6234,3.33265,-24.559,-24.5268
33,30.0,-25.0,2.5,1250,-1000,751.432,238.446,425.129,46.1352,1405.59,-251.893,1153.7,-35.7475,14.2643,-16.3963,-16.3644
34,30.0,-25.0,2.5,1250,-1250,741.181,521.054,438.881,105.597,1756.83,-260.099,1496.73,-35.8272,26.5583,-6.18471,-6.1533
35,30.0,-25.0,2.5,1250,-1500,720.843,831.909,464.309,195.546,2154.88,-272.065,1882.82,-35.7076,39.3598,2.88482,2.91561
36,30.0,-25.0,2.5,1500,-750,1089.81,-93.1387,619.594,9.59574,1541.02,-299.051,1241.97,-51.0956,-0.101937,-37.7884,-37.7573
37,30.0,-25.0,2.5,1500,-1000,1084.92,112.48,626.544,38.8004,1775.13,-304.367,1470.76,-51.2141,9.7389,-31.9125,-31.8817
38,30.0,-25.0,2.5,1500,-1250,1078.23,415.783,637.015,81.8561,2127.58,-311.114,1816.47,-51.3721,23.6357,-21.0181,-20.9876
39,30.0,-25.0,2.5,1500,-1500,1066.42,761.367,653.527,155.125,2556.91,-320.434,2236.48,-51.4794,38.5138,-8.45689,-8.42692
40,30.0,-25.0,5.0,750,-750,261.903,158.998,85.403,10.7163,491.764,-70.987,420.777,-12.8167,8.66966,-2.98073,-2.98337
41,30.0,-25.0,5.0,750,-750,261.903,158.998,85.403,10.7163,491.764,-70.987,420.777,-12.8167,8.66966,-2.98073,-2.98337
42,30.0,-25.0,5.0,750,-1000,238.988,354.813,96.4738,55.7641,716.697,-82.479,634.218,-12.3436,16.7681,3.00921,3.00583
43,30.0,-25.0,5.0,750,-1000,238.988,354.813,96.4738,55.7641,716.697,-82.479,634.218,-12.3436,16.7681,3.00921,3.00583
44,30.0,-25.0,5.0,750,-1250,202.399,600.519,115.831,124.156,1013.07,-221.806,791.261,-11.2856,26.4672,11.4108,11.4513
45,30.0,-25.0,5.0,750,-1500,157.825,885.144,142.72,209.327,1344.31,-239.168,1105.14,-9.73266,37.5924,20.4486,20.4881
46,30.0,-25.0,5.0,1000,-750,486.213,87.5797,180.097,0.0107941,705.372,-109.327,596.045,-23.0157,6.4165,-12.9468,-12.9508
47,30.0,-25.0,5.0,1000,-750,486.213,87.5797,180.097,0.0107941,705.372,-109.327,596.045,-23.0157,6.4165,-12.9468,-12.9508
48,30.0,-25.0,5.0,1000,-1000,472.64,305.451,190.213,37.6877,962.141,-118.754,843.388,-22.9323,16.1304,-4.99484,-4.99936
49,30.0,-25.0,5.0,1000,-1000,472.64,305.451,190.213,37.6877,962.141,-118.754,843.388,-22.9323,16.1304,-4.99484,-4.99936
50,30.0,-25.0,5.0,1000,-1250,443.991,553.604,211.57,98.2572,1279.73,-256.013,1023.72,-22.3816,26.3573,2.70188,2.74134
51,30.0,-25.0,5.0,1000,-1500,405.06,868.658,237.516,184.987,1641.27,-273.223,1368.04,-21.4473,38.7899,13.3906,13.4292
52,30.0,-25.0,5.0,1250,-750,759.123,-13.5395,321.032,-6.70998,1008.13,-282.722,725.404,-35.6343,2.69283,-24.5517,-24.5122
53,30.0,-25.0,5.0,1250,-1000,752.014,218.006,326.451,21.2973,1264.35,-289.778,974.576,-35.7158,13.5114,-17.1325,-17.0936
54,30.0,-25.0,5.0,1250,-1250,737.441,495.794,339.732,74.7323,1601.16,-300.68,1300.48,-35.6865,25.6959,-7.25515,-7.21684
55,30.0,-25.0,5.0,1250,-1500,711.76,804.996,362.819,153.106,1979.65,-314.887,1664.76,-35.3801,38.4679,2.06052,2.09789
56,30.0,-25.0,5.0,1500,-750,1093.49,-108.37,501.798,-10.1429,1392.95,-340.944,1052.01,-51.1145,-0.635204,-37.7051,-37.6674
57,30.0,-25.0,5.0,1500,-1000,1088.72,94.3641,505.554,12.7812,1616.26,-347.232,1269.03,-51.2331,9.07716,-31.7805,-31.7432
58,30.0,-25.0,5.0,1500,-1250,1080.42,394.415,513.607,51.9022,1957.44,-356.029,1601.41,-51.3591,22.878,-21.7207,-21.6838
59,30.0,-25.0,5.0,1500,-1500,1064.15,733.693,529.904,121.135,2372.01,-367.789,2004.22,-51.3631,37.575,-9.95823,-9.92215
60,30.0,-25.0,7.5,750,-750,251.281,126.959,44.3954,-5.87882,394.985,-94.2906,300.694,-12.5043,7.5328,-3.76323,-3.75777
61,30.0,-25.0,7.5,750,-750,251.281,126.959,44.3954,-5.87882,394.985,-94.2906,300.694,-12.5043,7.5328,-3.76323,-3.75777
62,30.0,-25.0,7.5,750,-1000,228.118,330.289,49.3023,29.6939,612.174,-107.252,504.922,-11.9683,16.076,2.65315,2.65772
63,30.0,-25.0,7.5,750,-1000,228.118,330.289,49.3023,29.6939,612.174,-107.252,504.922,-11.9683,16.076,2.65315,2.65772
64,30.0,-25.0,7.5,750,-1250,192.072,577.485,58.2314,86.3443,879.305,-186.466,692.839,-10.8974,25.8385,11.11,11.1374
65,30.0,-25.0,7.5,750,-1500,145.899,861.352,83.881,159.191,1193.87,-207.631,986.242,-9.23424,36.9469,20.209,20.2351
66,30.0,-25.0,7.5,1000,-750,480.562,56.4779,124.737,-17.8267,598.716,-136.057,462.659,-22.8811,5.19597,-13.6317,-13.6279
67,30.0,-25.0,7.5,1000,-750,480.562,56.4779,124.737,-17.8267,598.716,-136.057,462.659,-22.8811,5.19597,-13.6317,-13.6279
68,30.0,-25.0,7.5,1000,-1000,463.863,276.734,131.13,11.1135,842.281,-147.088,695.193,-22.6604,15.1447,-5.46209,-5.45905
69,30.0,-25.0,7.5,1000,-1000,463.863,276.734,131.13,11.1135,842.281,-147.088,695.193,-22.6604,15.1447,-5.46209,-5.45905
70,30.0,-25.0,7.5,1000,-1250,431.923,526.499,141.586,63.6002,1130.05,-224.824,905.227,-21.9664,25.5393,2.34016,2.36618
71,30.0,-25.0,7.5,1000,-1500,391.947,842.33,159.288,140.488,1476.51,-243.857,1232.66,-20.9483,37.9933,13.0589,13.0837
72,30.0,-25.0,7.5,1250,-750,761.933,-38.8668,238.031,-29.6032,872.671,-250.8,621.871,-35.7267,1.70987,-25.4485,-25.4228
