# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,20,-30,0,750,-750,120.451,261.631,90.305,114.524,562.802,-36.5503,526.252,-5.22285,13.6675,6.28989,6.28737
2,20,-30,0,750,-1000,66.6475,468.082,147.765,204.183,840.076,-52.4138,787.662,-3.87961,23.2984,14.6784,14.6751
3,20,-30,0,750,-1250,9.29595,770.709,191.586,296.483,1196.02,-55.8003,1140.22,-2.29304,36.5037,25.4915,25.4862
4,20,-30,0,750,-1500,-67.9172,1100.46,247.265,436.267,1612.38,-73.5113,1538.87,-0.050529,51.4097,38.1749,38.1686
5,20,-30,0,1000,-750,272.411,242.713,142.62,103.702,733.196,-53.7381,679.458,-10.4157,13.5614,2.41996,2.41713
6,20,-30,0,1000,-1000,216.641,469.23,170.064,211.842,1025.09,-64.0009,961.092,-9.27563,24.3593,11.1792,11.1757
7,20,-30,0,1000,-1250,161.175,771.268,216.082,311.197,1389.38,-67.8195,1321.56,-7.91245,37.6816,23.7961,23.7907
8,20,-30,0,1000,-1500,86.1178,1116.31,305.844,431.023,1835.66,-88.3746,1747.29,-5.95247,53.2997,36.1019,36.0954
9,20,-30,0,1250,-750,459.948,209.092,220.29,94.0741,938.39,-67.5213,870.869,-16.7791,12.6595,-2.95773,-2.96214
10,20,-30,0,1250,-1000,406.569,455.769,242.664,192.958,1254.5,-77.1697,1177.33,-15.7842,24.6172,7.33644,7.33134
11,20,-30,0,1250,-1250,350.731,755.974,269.605,309.756,1626.6,-86.4338,1540.17,-14.6575,38.4237,19.1607,19.1548
12,20,-30,0,1250,-1500,277.471,1108.74,323.78,455.877,2068.65,-102.295,1966.36,-12.9382,54.3785,33.8964,33.8897
13,20,-30,0,1500,-750,692.202,181.42,325.406,60.8492,1199.71,-90.6115,1109.09,-24.5771,11.6945,-10.398,-10.4029
14,20,-30,0,1500,-1000,640.193,413.547,336.821,180.491,1506.62,-103.693,1402.92,-23.6828,23.6907,-0.174813,-0.180485
