# Design Points of Design of Experiments
# Custom
# ,P28 - (B1_P1) h1 (degree) ,P29 - (B2_P1) h2 (degree) ,P30 - Vx (km hr^-1) ,P31 - n1 (rev min^-1) ,P32 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P28,P29,P30,P31,P32,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-32.5,0,750,-750,146.276,295.094,110.835,125.468,649.565,-33.737,615.828,-6.52735,16.2692,7.38536,7.38091
2,22.5,-32.5,0,750,-1000,90.5249,532.748,159.921,232.124,956.444,-47.873,908.571,-5.01206,27.8966,17.2981,17.2929
3,22.5,-32.5,0,750,-1250,19.6026,812.425,237.396,355.105,1335.18,-67.2741,1267.91,-2.81215,41.6219,28.6837,28.6774
4,22.5,-32.5,0,750,-1500,-63.3489,1149.59,312.592,524.528,1794.76,-89.4581,1705.3,-0.133038,58.2709,42.6622,42.6547
5,22.5,-32.5,0,1000,-750,313.529,280.236,180.482,109.644,852.76,-52.8776,799.882,-12.6677,16.4953,2.68114,2.67631
6,22.5,-32.5,0,1000,-1000,262.83,529.309,209.032,230.213,1181.96,-64.3899,1117.57,-11.6072,29.0216,13.2683,13.2627
7,22.5,-32.5,0,1000,-1250,192.792,844.647,262.818,370.355,1580.21,-80.4638,1499.74,-9.76593,44.3105,26.5305,26.5239
8,22.5,-32.5,0,1000,-1500,109.055,1189.75,366.963,523.845,2059.42,-104.255,1955.16,-7.25236,61.3547,40.4634,40.4556
9,22.5,-32.5,0,1250,-750,519.709,244.191,279.043,93.3222,1086.91,-79.0919,1007.82,-20.2189,15.508,-4.07731,-4.08274
10,22.5,-32.5,0,1250,-1000,474.177,513.697,305.81,204.332,1446.12,-88.8548,1357.27,-19.3872,29.5049,7.28379,7.27765
11,22.5,-32.5,0,1250,-1250,415.902,833.508,337.67,361.937,1872.78,-101.932,1770.85,-18.1826,45.5014,21.0292,21.0221
12,22.5,-32.5,0,1250,-1500,335.894,1225.02,394.639,525.053,2353.83,-119.697,2234.13,-16.1644,64.1395,37.4926,37.4845
