# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P3 - Vx (km hr^-1) ,P4 - n1 (rev min^-1) ,P5 - n2 (rev min^-1) ,P6 - r1-op (N) ,P7 - r2-op (N) ,P8 - rx_ring1-op (N) ,P9 - rx_ring2-op (N) ,P10 - rx_wmg-op (N) ,P11 - rx_body-op (N) ,P12 - rx_sum-op (N) ,P13 - mx1-op (J) ,P14 - mx2-op (J) ,P15 - mx_wmg-op (J) ,P16 - mx_sum-op (J) 
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16
0,32.5,-30.0,0.0,750,-750,287.89,261.641,195.957,71.2678,784.971,-50.2203,734.751,-15.2077,14.8097,-1.04978,-1.05431
1,32.5,-30.0,0.0,750,-1000,261.926,492.721,231.208,168.463,1104.35,-62.123,1042.22,-14.7937,25.5976,7.42001,7.41477
2,32.5,-30.0,0.0,750,-1250,218.004,780.681,271.502,285.322,1475.82,-74.998,1400.82,-13.3902,38.6687,18.5589,18.5527
3,32.5,-30.0,0.0,750,-1500,168.826,1121.92,324.341,424.598,1931.01,-91.9281,1839.08,-11.5525,54.0415,31.6791,31.6718
4,32.5,-30.0,0.0,1000,-750,518.989,194.855,341.422,63.5762,1066.62,-86.6446,979.978,-26.7564,15.3573,-7.08165,-7.08692
5,32.5,-30.0,0.0,1000,-1000,511.913,474.391,361.188,132.476,1424.52,-93.72,1330.8,-26.9809,26.6387,-1.68402,-1.68992
6,32.5,-30.0,0.0,1000,-1250,484.125,773.856,407.354,260.275,1851.32,-108.5,1742.81,-26.7408,40.6053,8.43334,8.4265
7,32.5,-30.0,0.0,1000,-1500,440.977,1127.08,460.315,401.919,2315.82,-124.809,2191.01,-25.6966,56.7386,22.9635,22.9557
8,32.5,-30.0,0.0,1250,-750,810.809,120.376,536.766,45.8044,1431.79,-131.99,1299.8,-41.3293,9.8746,-24.1896,-24.1958
9,32.5,-30.0,0.0,1250,-1000,808.225,417.564,550.212,107.644,1808.72,-138.529,1670.19,-41.7092,25.6702,-11.2331,-11.2399
10,32.5,-30.0,0.0,1250,-1250,798.667,750.712,577.316,209.828,2250.66,-148.734,2101.92,-42.0455,41.9159,-2.18543,-2.19295
11,32.5,-30.0,0.0,1250,-1500,771.725,1128.58,628.793,357.696,2781.05,-164.994,2616.06,-41.9858,59.4206,10.0687,10.0602
12,32.5,-30.0,0.0,1500,-750,1167.8,27.2762,778.388,36.7035,1896.79,-188.075,1708.71,-59.1949,5.74931,-40.1147,-40.122
13,32.5,-30.0,0.0,1500,-1000,1163.91,304.034,793.979,96.1726,2239.54,-194.716,2044.83,-59.5503,21.3297,-29.8369,-29.8448
14,32.5,-30.0,0.0,1500,-1250,1160.36,684.7,811.276,176.409,2721.5,-202.681,2518.81,-60.0114,40.9969,-13.6078,-13.6163
15,32.5,-30.0,0.0,1500,-1500,1148.64,1089.43,843.354,303.355,3262.05,-214.829,3047.22,-60.4212,60.5694,-2.56283,-2.57222
16,32.5,-30.0,2.5,750,-750,285.476,254.164,163.995,58.2252,731.533,-71.8799,659.653,-15.1162,14.4898,-0.997415,-1.00004
17,32.5,-30.0,2.5,750,-1000,255.512,486.366,194.259,148.211,1035.48,-85.8398,949.639,-14.4854,25.3134,7.56395,7.56058
18,32.5,-30.0,2.5,750,-1250,209.862,772.632,230.391,263.581,1397.57,-101.9,1295.67,-12.99,38.4082,18.472,18.4677
19,32.5,-30.0,2.5,750,-1500,161.343,1115.77,280.746,394.551,1843.76,-121.998,1721.77,-11.1554,53.851,31.4573,31.452
20,32.5,-30.0,2.5,1000,-750,522.362,208.495,294.436,43.0418,1019.17,-109.858,909.31,-26.7839,13.5618,-10.6655,-10.669
21,32.5,-30.0,2.5,1000,-1000,510.478,464.683,316.216,115.952,1353.3,-120.545,1232.76,-26.9168,26.2264,-1.78992,-1.794
22,32.5,-30.0,2.5,1000,-1250,478.364,763.074,357.647,234.653,1761.8,-137.779,1624.02,-26.4706,40.1624,8.74327,8.73831
23,32.5,-30.0,2.5,1000,-1500,423.41,1120.54,404.731,375.229,2209.9,-155.745,2054.16,-24.7905,56.4825,22.5384,22.5324
24,32.5,-30.0,2.5,1250,-750,815.411,114.956,478.093,35.4972,1362.75,-159.878,1202.88,-41.4259,9.64358,-24.2324,-24.237
25,32.5,-30.0,2.5,1250,-1000,811.655,410.647,490.59,92.751,1730.79,-168.135,1562.65,-41.7751,25.3972,-12.4508,-12.4559
26,32.5,-30.0,2.5,1250,-1250,798.226,738.522,518.952,191.417,2162.85,-181.014,1981.84,-42.005,41.4209,-2.63647,-2.64219
27,32.5,-30.0,2.5,1250,-1500,763.485,1107.29,571.394,339.696,2676.48,-201.179,2475.3,-41.6825,58.6147,9.85465,9.84792
