# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P3 - Vx (km hr^-1) ,P4 - n1 (rev min^-1) ,P5 - n2 (rev min^-1) ,P6 - r1-op (N) ,P7 - r2-op (N) ,P8 - rx_ring1-op (N) ,P9 - rx_ring2-op (N) ,P10 - rx_wmg-op (N) ,P11 - rx_body-op (N) ,P12 - rx_sum-op (N) ,P13 - mx1-op (J) ,P14 - mx2-op (J) ,P15 - mx_wmg-op (J) ,P16 - mx_sum-op (J) 
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16
1,20,-22.5,0,750,-750,157.06403,169.53572,96.459724,57.477486,466.59717,-26.410721,440.18646,-5.9729137,7.6016207,1.07854,1.0780437
2,20,-22.5,0,750,-1000,127.38097,343.60898,111.70249,117.05445,674.72003,-32.112026,642.60797,-5.390872,14.04844,6.8287044,6.8279634
3,20,-22.5,0,750,-1250,83.672623,558.99792,122.3187,163.95932,885.61969,-37.751656,847.86798,-4.3149648,21.907366,13.290161,13.285809
4,20,-22.5,0,750,-1500,36.016853,810.64429,172.43533,233.53555,1193.1852,-50.315346,1142.8698,-3.0611718,30.95682,20.740353,20.73522
5,20,-22.5,0,1000,-750,306.45248,123.1237,161.03862,45.999451,611.01068,-41.901817,569.10895,-11.021799,6.4175386,-4.2269206,-4.2275548
6,20,-22.5,0,1000,-1000,279.2431,304.35065,171.56604,102.9879,833.19177,-47.060432,786.13135,-10.540572,13.51292,2.0790434,2.0781741
7,20,-22.5,0,1000,-1250,241.15901,522.51349,156.79898,157.02702,1040.4607,-50.623905,989.83691,-9.8005753,21.628687,9.4011669,9.3965549
8,20,-22.5,0,1000,-1500,189.16782,802.7605,187.95703,246.60999,1362.2631,-61.427258,1300.8358,-8.6300182,31.826466,17.673876,17.668556
9,20,-22.5,0,1250,-750,484.66425,54.437611,216.13423,33.619473,746.85651,-63.754494,683.10193,-17.193024,4.2367282,-9.8553867,-9.859621
10,20,-22.5,0,1250,-1000,462.56891,238.61633,221.55312,80.501167,959.88025,-67.726608,892.15363,-16.828533,11.867748,-4.1599712,-4.1645746
11,20,-22.5,0,1250,-1250,424.86124,468.87888,235.89999,147.41406,1236.0566,-75.166054,1160.8905,-16.1455,20.829353,3.5411389,3.5359914
12,20,-22.5,0,1250,-1500,373.74722,744.54919,257.91849,229.70161,1552.6885,-83.329529,1469.3589,-15.133795,31.055519,12.572735,12.566966
13,20,-22.5,0,1500,-750,699.7038,-7.9899621,329.6745,12.306578,973.77277,-90.356415,883.41644,-24.65317,2.2124426,-16.443933,-16.448719
14,20,-22.5,0,1500,-1000,703.78107,169.89458,362.2948,75.166534,1253.4198,-92.305061,1161.1147,-24.834591,9.8352785,-12.520357,-12.521645
15,20,-22.5,0,1500,-1250,656.83398,401.17126,335.15393,124.86948,1455.6334,-101.63,1354.0034,-23.972792,19.227013,-4.5199795,-4.5256371
16,20,-22.5,0,1500,-1500,623.86212,676.48639,342.09235,222.01337,1805.5425,-107.0243,1698.5183,-23.403334,29.974236,4.9706736,4.9644451
17,20,-22.5,2.5,750,-750,151.8544,160.31168,53.496845,38.227333,389.5957,-40.322609,349.2731,-5.8676796,7.373065,0.96991563,0.96815836
18,20,-22.5,2.5,750,-1000,118.09231,327.77869,69.426292,84.025063,574.19678,-50.270905,523.9259,-5.156106,13.647154,6.7526751,6.7502728
19,20,-22.5,2.5,750,-1250,79.710571,552.98993,99.065651,138.47621,827.81348,-58.924809,768.88867,-4.2059646,21.737038,13.150706,13.148023
20,20,-22.5,2.5,750,-1500,28.501053,804.3252,139.08968,207.02718,1120.0262,-74.63781,1045.3884,-2.8414073,30.767557,20.551109,20.547583
21,20,-22.5,2.5,1000,-750,301.33795,113.09721,105.4188,32.086494,525.95758,-61.426369,464.53116,-10.923645,6.1495895,-3.9863908,-3.9888389
22,20,-22.5,2.5,1000,-1000,273.66489,291.54169,111.99812,76.530205,728.40662,-67.57756,660.82898,-10.435249,13.185106,1.8244308,1.8215722
23,20,-22.5,2.5,1000,-1250,234.71347,515.56909,122.78165,138.60292,975.92273,-72.671524,903.25122,-9.6360712,21.448341,9.3517418,9.3487892
24,20,-22.5,2.5,1000,-1500,183.07318,794.99591,156.23183,217.28415,1288.546,-85.973976,1202.5721,-8.439827,31.588301,17.596876,17.593214
25,20,-22.5,2.5,1250,-750,488.18851,56.228508,178.15771,14.771826,697.48785,-81.878212,615.60968,-17.222588,4.2845473,-10.300762,-10.303414
26,20,-22.5,2.5,1250,-1000,467.49942,238.42276,180.79866,54.801151,900.84607,-86.066612,814.77948,-16.885895,11.826469,-5.0261006,-5.0290408
27,20,-22.5,2.5,1250,-1250,435.17871,466.8623,188.95569,117.67872,1170.1653,-93.363937,1076.8014,-16.320349,20.708965,2.7088346,2.705431
28,20,-22.5,2.5,1250,-1500,386.94635,734.92688,202.93947,206.21732,1479.7985,-103.34924,1376.4491,-15.397343,30.763729,12.07929,12.07533
29,20,-22.5,2.5,1500,-750,705.91968,-21.080561,273.84186,15.840976,915.99744,-111.73852,804.25891,-24.758785,1.7583252,-17.094124,-17.097462
30,20,-22.5,2.5,1500,-1000,684.64685,160.97218,278.83914,49.441433,1115.0863,-117.21532,997.87097,-24.389774,9.4936457,-11.944022,-11.947702
31,20,-22.5,2.5,1500,-1250,652.68573,398.81073,288.46112,102.15972,1382.3016,-124.18352,1258.1182,-23.840998,19.131073,-4.558382,-4.5624647
32,20,-22.5,2.5,1500,-1500,609.70032,680.86688,302.76935,178.00656,1714.9056,-133.84808,1581.0575,-23.076199,29.970299,4.7365856,4.7319698
33,20,-22.5,5,750,-750,144.67735,148.63278,15.712873,15.556812,311.60342,-43.008812,268.5946,-5.6915665,7.0486622,0.88653022,0.88503069
