# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-22.5,0,750,-750,183.768,156.314,92.7474,43.81,459.669,-33.7243,425.945,-7.38058,7.38279,-0.188224,-0.190292
2,22.5,-22.5,0,750,-1000,155.675,322.859,106.727,97.1737,655.678,-39.8934,615.785,-6.81228,13.7398,5.39169,5.38924
3,22.5,-22.5,0,750,-1250,122.194,559.034,128.227,164.13,928.771,-41.8363,886.934,-5.9635,22.1645,12.2949,12.2907
4,22.5,-22.5,0,750,-1500,79.1768,808.603,175.78,235.978,1239.35,-53.8105,1185.54,-4.7163,31.1841,19.7891,19.7841
5,22.5,-22.5,0,1000,-750,349.341,98.8026,167.118,38.0192,622.26,-54.5908,567.669,-13.4311,5.77535,-6.14394,-6.14643
6,22.5,-22.5,0,1000,-1000,328.787,282.68,174.847,81.714,838.532,-58.9094,779.623,-13.0979,13.1604,-0.323318,-0.326207
7,22.5,-22.5,0,1000,-1250,297.677,516.935,189.493,149.885,1114.37,-59.4631,1054.9,-12.4798,21.863,7.52136,7.51682
8,22.5,-22.5,0,1000,-1500,257.2,797.516,254.742,258.111,1501.47,-70.6571,1430.81,-11.596,32.1269,14.8912,14.8895
9,22.5,-22.5,0,1250,-750,553.208,29.8103,270.01,17.6237,823.778,-74.425,749.353,-20.9291,3.45868,-13.6148,-13.619
10,22.5,-22.5,0,1250,-1000,540.009,223.654,274.162,56.0026,1044.67,-76.2177,968.45,-20.7487,11.5648,-8.62556,-8.63025
11,22.5,-22.5,0,1250,-1250,518.279,461.98,282.653,117.366,1335.34,-81.3623,1253.98,-20.403199999999998,20.9222,-0.480668,-0.485693
12,22.5,-22.5,0,1250,-1500,487.025,735.176,294.82,213.71,1675.61,-88.6353,1586.98,-19.8825,31.3122,8.54836,8.54263
13,22.5,-22.5,0,1500,-750,799.528,-53.6113,398.455,12.8414,1090.6,-106.84,983.755,-30.0617,0.663688,-22.0638,-22.0686
14,22.5,-22.5,0,1500,-1000,801.234,128.957,388.973,47.6618,1299.4,-106.191,1193.21,-30.2234,8.55596,-18.2345,-18.2396
15,22.5,-22.5,0,1500,-1250,782.769,370.926,395.106,116.189,1594.08,-113.307,1480.77,-30.0221,18.644,-10.1475,-10.1531
16,22.5,-22.5,0,1500,-1500,736.987,662.578,424.311,186.197,1943.85,-124.102,1819.75,-29.1329,30.0238,0.341034,0.334642
17,22.5,-22.5,2.5,750,-750,181.99,153.865,69.8482,33.7656,423.484,-45.117,378.367,-7.32527,7.30968,-0.190387,-0.192342
18,22.5,-22.5,2.5,750,-1000,154.095,324.721,81.4851,81.0075,615.957,-54.6911,561.266,-6.7495,13.7811,5.47975,5.47715
19,22.5,-22.5,2.5,750,-1250,116.856,552.19,101.29,140.727,867.309,-62.8509,804.458,-5.78333,21.965,12.2247,12.2218
