,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,25.0,-27.5,0.0,750,-750,200.648,229.363,120.725,75.7802,604.802,-40.8626,563.94,-8.83673,11.7779,1.80248,1.79985
1,25.0,-27.5,0.0,750,-750,200.648,229.363,120.725,75.7802,604.802,-40.8626,563.94,-8.83673,11.7779,1.80248,1.79985
2,25.0,-27.5,0.0,750,-1000,162.372,430.387,146.674,161.71,864.924,-51.2092,813.714,-7.9361,20.6024,9.66793,9.66472
3,25.0,-27.5,0.0,750,-1000,162.372,430.387,146.674,161.71,864.924,-51.2092,813.714,-7.9361,20.6024,9.66793,9.66472
4,25.0,-27.5,0.0,750,-1250,110.404,698.782,188.039,251.227,1183.52,-52.1465,1131.38,-6.31074,31.798,18.942,18.9387
5,25.0,-27.5,0.0,750,-1500,54.2754,999.402,262.041,353.833,1579.18,-71.2194,1507.96,-4.36461,44.4463,29.3118,29.3073
6,25.0,-27.5,0.0,1000,-750,387.594,184.152,207.979,59.6351,803.911,-64.483,739.428,-16.1909,10.6198,-5.23916,-5.24223
7,25.0,-27.5,0.0,1000,-750,387.594,184.152,207.979,59.6351,803.911,-64.483,739.428,-16.1909,10.6198,-5.23916,-5.24223
8,25.0,-27.5,0.0,1000,-1000,359.011,412.549,226.199,140.223,1099.95,-71.7174,1028.23,-15.7101,21.0154,3.18614,3.18256
9,25.0,-27.5,0.0,1000,-1000,359.011,412.549,226.199,140.223,1099.95,-71.7174,1028.23,-15.7101,21.0154,3.18614,3.18256
10,25.0,-27.5,0.0,1000,-1250,313.289,675.914,254.935,242.818,1432.18,-74.189,1358.0,-14.6832,32.4469,13.6765,13.6727
11,25.0,-27.5,0.0,1000,-1500,251.944,1010.97,301.916,367.796,1837.46,-89.6365,1747.82,-12.9892,46.5655,25.2636,25.2588
12,25.0,-27.5,0.0,1250,-750,622.312,117.651,324.017,41.4336,1052.4,-83.3234,969.08,-25.4237,8.09267,-14.2102,-14.2133
13,25.0,-27.5,0.0,1250,-1000,598.331,357.659,338.084,112.353,1352.08,-92.0843,1259.99,-25.0958,19.6921,-6.04052,-6.04421
14,25.0,-27.5,0.0,1250,-1250,560.315,645.374,363.402,219.422,1729.38,-103.716,1625.67,-24.4349,32.7012,4.85189,4.8475
15,25.0,-27.5,0.0,1250,-1500,507.996,972.97,400.559,347.318,2149.8,-118.264,2031.53,-23.3219,46.9681,17.9492,17.9438
16,25.0,-27.5,0.0,1500,-750,903.454,35.6437,474.55,34.2383,1371.65,-121.392,1250.26,-36.6037,4.79435,-23.9629,-23.9669
17,25.0,-27.5,0.0,1500,-1000,888.435,283.332,482.779,89.343,1664.59,-129.04,1535.55,-36.4504,17.1946,-16.6797,-16.6843
18,25.0,-27.5,0.0,1500,-1250,854.935,582.976,503.559,187.178,2051.8,-139.742,1912.06,-35.9661,31.3883,-5.81195,-5.81723
19,25.0,-27.5,0.0,1500,-1500,808.542,933.931,535.097,318.528,2510.99,-153.625,2357.37,-35.1507,47.1521,7.10286,7.09683
20,25.0,-27.5,2.5,750,-750,198.015,225.914,95.1209,63.9614,561.924,-55.0033,506.921,-8.74813,11.6625,1.80544,1.80312
21,25.0,-27.5,2.5,750,-750,198.015,225.914,95.1209,63.9614,561.924,-55.0033,506.921,-8.74813,11.6625,1.80544,1.80312
22,25.0,-27.5,2.5,750,-1000,159.251,429.15,118.85,142.102,814.403,-67.9909,746.412,-7.80496,20.5333,9.86184,9.85875
23,25.0,-27.5,2.5,750,-1000,159.251,429.15,118.85,142.102,814.403,-67.9909,746.412,-7.80496,20.5333,9.86184,9.85875
24,25.0,-27.5,2.5,750,-1250,91.0273,660.225,173.83,262.624,1122.25,-98.0363,1024.21,-5.62338,30.7725,17.4147,17.4097
25,25.0,-27.5,2.5,750,-1500,48.8402,994.225,226.914,325.359,1505.69,-105.971,1399.72,-4.1486,44.2447,29.3183,29.3132
26,25.0,-27.5,2.5,1000,-750,386.187,181.521,174.675,48.1275,755.874,-81.3698,674.504,-16.1275,10.5113,-5.36387,-5.36693
27,25.0,-27.5,2.5,1000,-750,386.187,181.521,174.675,48.1275,755.874,-81.3698,674.504,-16.1275,10.5113,-5.36387,-5.36693
28,25.0,-27.5,2.5,1000,-1000,355.856,408.603,190.774,124.602,1042.46,-92.0626,950.395,-15.5972,20.8755,3.22529,3.2216
29,25.0,-27.5,2.5,1000,-1000,355.856,408.603,190.774,124.602,1042.46,-92.0626,950.395,-15.5972,20.8755,3.22529,3.2216
30,25.0,-27.5,2.5,1000,-1250,307.301,669.091,215.34,222.886,1360.78,-106.924,1253.85,-14.4612,32.193,13.7369,13.7325
31,25.0,-27.5,2.5,1000,-1500,245.314,1004.2,261.213,341.596,1758.71,-125.215,1633.5,-12.7192,46.3137,25.4537,25.4483
32,25.0,-27.5,2.5,1250,-750,619.912,108.758,279.557,33.0306,988.439,-114.221,874.218,-25.3228,7.67517,-14.2719,-14.2757
33,25.0,-27.5,2.5,1250,-1000,595.076,351.801,291.679,99.6015,1283.75,-124.656,1159.1,-24.9657,19.4481,-6.02571,-6.03017
34,25.0,-27.5,2.5,1250,-1250,555.542,638.525,314.952,202.16,1652.88,-138.636,1514.25,-24.2601,32.4361,5.07798,5.0727
35,25.0,-27.5,2.5,1250,-1500,501.888,965.64,350.099,325.14,2064.93,-155.484,1909.45,-23.0899,46.6778,18.193,18.1868
36,25.0,-27.5,2.5,1500,-750,901.467,29.8175,421.098,26.7899,1305.04,-156.108,1148.93,-36.5001,4.46918,-23.9666,-23.9715
37,25.0,-27.5,2.5,1500,-1000,885.567,275.502,428.094,77.9244,1587.97,-164.511,1423.46,-36.3237,16.8385,-16.7555,-16.7609
38,25.0,-27.5,2.5,1500,-1250,851.28,576.985,446.725,171.818,1969.65,-177.197,1792.45,-35.8107,31.1333,-5.93317,-5.93932
39,25.0,-27.5,2.5,1500,-1500,803.323,926.538,476.342,299.624,2421.99,-193.474,2228.52,-34.9464,46.8565,7.48647,7.47946
40,25.0,-27.5,5.0,750,-750,189.314,211.174,48.2421,38.6516,467.112,-61.1837,405.929,-8.48275,11.1642,1.65827,1.65589
41,25.0,-27.5,5.0,750,-750,189.314,211.174,48.2421,38.6516,467.112,-61.1837,405.929,-8.48275,11.1642,1.65827,1.65589
42,25.0,-27.5,5.0,750,-1000,151.352,420.134,64.8071,102.468,705.013,-75.7641,629.249,-7.5228,20.2395,9.84999,9.84669
43,25.0,-27.5,5.0,750,-1000,151.352,420.134,64.8071,102.468,705.013,-75.7641,629.249,-7.5228,20.2395,9.84999,9.84669
44,25.0,-27.5,5.0,750,-1250,93.6156,673.218,119.517,181.62,1047.55,-389.319,658.235,-5.70069,31.0299,18.213,18.3037
45,25.0,-27.5,5.0,750,-1500,34.764,975.78,172.99,280.191,1424.65,-464.6,960.048,-3.6233,43.7674,28.6593,28.7642
46,25.0,-27.5,5.0,1000,-750,379.655,167.395,110.821,24.3189,647.612,-89.4597,558.152,-15.9233,9.95078,-5.49095,-5.49434
47,25.0,-27.5,5.0,1000,-750,379.655,167.395,110.821,24.3189,647.612,-89.4597,558.152,-15.9233,9.95078,-5.49095,-5.49434
48,25.0,-27.5,5.0,1000,-1000,345.785,392.328,123.961,90.6086,916.401,-102.699,813.702,-15.2795,20.3143,3.12258,3.11835
49,25.0,-27.5,5.0,1000,-1000,345.785,392.328,123.961,90.6086,916.401,-102.699,813.702,-15.2795,20.3143,3.12258,3.11835
