,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,30.0,-35.0,0.0,750,-750,248.31937,338.68405,185.00505,115.43962,852.70453,-49.168747,803.53577,-12.741187,20.696826,4.9350971,4.9305227
1,30.0,-35.0,0.0,750,-1000,199.14722,601.87653,227.54573,242.6468,1198.3297,-63.500343,1134.8295,-11.332834,34.525097,16.85294,16.847467
2,30.0,-35.0,0.0,750,-1250,134.68416,906.96979,288.18134,406.01718,1625.5157,-82.880798,1542.6349,-8.9761792,50.66359,31.441597,31.435007
3,30.0,-35.0,0.0,750,-1500,66.16893,1269.063,395.12241,578.54565,2158.2427,-110.03301,2048.21,-6.0599505,69.896344,48.373675,48.365634
4,30.0,-35.0,0.0,1000,-750,471.92618,322.02844,304.21594,97.204048,1148.4935,-79.263214,1069.2302,-22.986555,21.420943,-2.6372309,-2.6423913
5,30.0,-35.0,0.0,1000,-1000,443.46982,611.01648,341.5304,212.86708,1547.2216,-92.167389,1455.0542,-22.65335,37.163283,8.9415711,8.9355517
6,30.0,-35.0,0.0,1000,-1250,387.49359,945.46918,400.5441,379.99506,2000.8068,-110.96065,1889.8461,-21.282193,54.622319,24.496445,24.489328
7,30.0,-35.0,0.0,1000,-1500,301.96658,1330.7534,470.45813,587.56384,2528.1362,-132.66385,2395.4722,-18.295419,75.0473,42.512622,42.504186
8,30.0,-35.0,0.0,1250,-750,747.70996,278.77777,470.39941,88.052071,1519.9493,-119.58685,1400.3624,-35.764646,20.331417,-14.077107,-14.083104
9,30.0,-35.0,0.0,1250,-1000,731.3562,594.53522,495.76166,187.05586,1931.5824,-129.84969,1801.7327,-35.82867,38.462706,-0.97531585,-0.98205968
10,30.0,-35.0,0.0,1250,-1250,694.56073,961.48804,546.77106,340.39453,2446.5977,-146.62137,2299.9761,-35.398913,58.334234,14.095553,14.087746
11,30.0,-35.0,0.0,1250,-1500,628.84711,1371.479,620.11493,547.70587,3005.7297,-169.01117,2836.7185,-33.901976,79.597917,33.343004,33.333949
12,30.0,-35.0,0.0,1500,-750,1077.2906,192.07623,685.73944,82.670357,1938.5956,-170.37216,1768.2234,-51.162139,16.177784,-28.043189,-28.050244
13,30.0,-35.0,0.0,1500,-1000,1066.069,552.06915,705.27576,169.4928,2396.562,-179.34088,2217.2212,-51.338123,38.102702,-12.752793,-12.760501
14,30.0,-35.0,0.0,1500,-1250,1041.9059,950.17474,740.20294,301.94821,2919.9287,-192.3006,2727.6284,-51.295576,60.423605,1.9709217,1.9622634
15,30.0,-35.0,0.0,1500,-1500,1000.8267,1388.8682,795.80914,497.31332,3543.5273,-210.47156,3333.0557,-50.89889,84.108639,20.34922,20.339457
16,30.0,-35.0,2.5,750,-750,243.21921,331.40741,153.68335,99.528259,794.34241,-71.754662,722.58765,-12.540925,20.34734,4.9844462,4.9816939
17,30.0,-35.0,2.5,750,-1000,192.71912,597.50281,189.11816,218.99437,1126.8016,-88.520493,1038.2811,-11.029652,34.328777,16.791051,16.787374
18,30.0,-35.0,2.5,750,-1250,129.37733,903.08856,247.89502,369.3064,1540.1074,-113.41222,1426.6953,-8.7032668,50.48226,31.192066,31.187042
