# Design Points of Design of Experiments
# Custom
# ,P28 - (B1_P1) h1 (degree) ,P29 - (B2_P1) h2 (degree) ,P30 - Vx (km hr^-1) ,P31 - n1 (rev min^-1) ,P32 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P28,P29,P30,P31,P32,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,35,-20,0,750,-750,307.841,76.419,202.674,11.0847,564.565,-50.1856,514.379,-16.8112,4.85246,-8.51488,-8.51889
2,35,-20,0,750,-1000,308.565,248.274,208.935,29.9841,763.987,-53.2596,710.727,-17.072,11.1221,-4.77457,-4.7789
3,35,-20,0,750,-1250,304.669,451.827,226.645,77.3801,1022.05,-60.0325,962.022,-17.3569,18.2403,0.826456,0.82163
4,35,-20,0,750,-1500,291.508,674.941,253.6,138.499,1307.49,-68.653,1238.84,-17.2967,25.9347,6.14933,6.1439
5,35,-20,0,1000,-750,545.729,-32.8169,368.296,4.5897,826.058,-89.3626,736.695,-29.5004,1.96219,-19.1514,-19.1561
6,35,-20,0,1000,-1000,544.343,139.638,378.206,22.9151,1026.43,-92.9329,933.494,-29.7232,8.63423,-14.8805,-14.8855
7,35,-20,0,1000,-1250,545.487,366.908,385.365,43.9357,1287.01,-96.2879,1190.72,-30.0483,16.9756,-10.2593,-10.2647
8,35,-20,0,1000,-1500,545.723,632.072,400.578,96.2151,1615.04,-102.984,1512.05,-30.5423,26.1951,-2.89147,-2.89743
9,35,-20,0,1250,-750,863.312,-180.113,624.753,-14.2894,1197.55,-145.656,1051.89,-46.7331,-1.87055,-33.0365,-33.042
10,35,-20,0,1250,-1000,849.629,3.2584,594.135,13.2988,1367.65,-142.515,1225.13,-46.0061,5.09055,-28.3508,-28.3566
11,35,-20,0,1250,-1250,847.405,222.637,608.417,38.4384,1625.61,-147.019,1478.59,-46.2734,13.523,-22.993,-22.9992
12,35,-20,0,1250,-1500,848.923,503.99,616,62.9677,1948.18,-150.596,1797.59,-46.6693,23.9073,-17.3298,-17.3364
13,35,-20,0,1500,-750,1236.48,-308.31,915.488,-24.9987,1678.4,-207.821,1470.58,-66.893,-4.78097,-49.58,-49.5868
14,35,-20,0,1500,-1000,1223.04,-169.144,857.157,2.59589,1780.23,-201.653,1578.58,-65.8094,0.413298,-45.3176,-45.3243
15,35,-20,0,1500,-1250,1219.52,59.9436,873.022,28.0035,2047.81,-206.407,1841.4,-66.0718,9.35717,-39.2645,-39.2716
16,35,-20,0,1500,-1500,1216.75,325.728,892.299,58.5606,2362.02,-212.383,2149.63,-66.4544,19.5355,-32.7888,-32.7965
17,35,-20,2.5,750,-750,310.207,73.2295,166.857,3.92166,521.338,-67.54,453.798,-16.8655,4.7766,-8.74089,-8.74294
18,35,-20,2.5,750,-1000,309.297,242.414,173.869,22.2936,716.437,-72.3303,644.107,-17.0868,10.9743,-4.9574,-4.95972
19,35,-20,2.5,750,-1250,301.273,443.428,191.82,62.6077,961.511,-82.1998,879.312,-17.2039,18.0117,0.629688,0.626803
20,35,-20,2.5,750,-1500,286.098,665.889,214.649,119.055,1236.08,-91.5398,1144.54,-17.0253,25.6724,6.01462,6.01129
21,35,-20,2.5,1000,-750,547.544,-39.0317,321.64,-1.12626,769.955,-110.432,659.523,-29.5101,1.78834,-19.3182,-19.3211
22,35,-20,2.5,1000,-1000,547.382,136.481,327.645,14.5401,967.961,-114.779,853.182,-29.7691,8.55249,-15.1375,-15.1407
