,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,30.0,-27.5,0.0,750,-750,264.606,224.258,166.621,58.7542,687.25,-50.6383,636.612,-13.0088,12.008,-1.10835,-1.11099
1,30.0,-27.5,0.0,750,-750,264.606,224.258,166.621,58.7542,687.25,-50.6383,636.612,-13.0088,12.008,-1.10835,-1.11099
2,30.0,-27.5,0.0,750,-1000,239.203,426.139,196.009,139.505,963.536,-61.3444,902.192,-12.5763,20.9414,6.12487,6.12167
3,30.0,-27.5,0.0,750,-1000,239.203,426.139,196.009,139.505,963.536,-61.3444,902.192,-12.5763,20.9414,6.12487,6.12167
4,30.0,-27.5,0.0,750,-1250,194.47,697.395,228.466,237.778,1292.02,-61.7875,1230.23,-11.18,32.3605,15.5351,15.5316
5,30.0,-27.5,0.0,750,-1500,142.05,1002.96,276.136,357.761,1687.46,-76.693,1610.77,-9.26656,45.2457,26.4351,26.4306
6,30.0,-27.5,0.0,1000,-750,481.767,163.376,292.41,45.3049,936.547,-83.1584,853.389,-23.0282,10.283,-9.76911,-9.7723
7,30.0,-27.5,0.0,1000,-750,481.767,163.376,292.41,45.3049,936.547,-83.1584,853.389,-23.0282,10.283,-9.76911,-9.7723
8,30.0,-27.5,0.0,1000,-1000,470.54,406.08,307.915,109.291,1246.76,-88.8743,1157.88,-23.0606,21.5367,-1.81685,-1.82047
9,30.0,-27.5,0.0,1000,-1000,470.54,406.08,307.915,109.291,1246.76,-88.8743,1157.88,-23.0606,21.5367,-1.81685,-1.82047
10,30.0,-27.5,0.0,1000,-1250,439.912,677.565,341.796,211.987,1611.88,-92.5319,1519.34,-22.6019,33.4323,6.90999,6.90593
11,30.0,-27.5,0.0,1000,-1500,394.884,1000.17,390.609,335.561,2023.22,-108.081,1915.14,-21.5041,47.2332,19.1759,19.1709
12,30.0,-27.5,0.0,1250,-750,753.514,78.3743,459.004,33.0669,1252.36,-113.678,1138.68,-35.6437,6.9024,-22.0983,-22.1018
13,30.0,-27.5,0.0,1250,-1000,747.036,334.616,469.502,83.4382,1565.27,-120.918,1444.36,-35.8026,19.6898,-12.7592,-12.7633
