# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-30,0,750,-750,157.566,265.738,105.362,105.72,610.765,-38.8788,571.886,-6.84981,14.018,5.18993,5.18729
2,22.5,-30,0,750,-1000,105.6,479.319,146.661,203.625,892.088,-52.3163,839.772,-5.49892,23.989,14.1785,14.175
3,22.5,-30,0,750,-1250,54.7831,776.387,205.833,296.376,1258.38,-59.2971,1199.08,-3.94178,37.0503,24.6705,24.6645
4,22.5,-30,0,750,-1500,-17.0711,1105.89,272.852,426.939,1683.27,-77.8503,1605.42,-1.60457,51.8656,37.3115,37.3043
5,22.5,-30,0,1000,-750,327.679,238.364,174.92,90.5352,802.059,-58.9992,743.06,-13.0796,13.6168,0.08611,0.0830538
6,22.5,-30,0,1000,-1000,282.868,476.604,198.518,194.763,1111.32,-68.0029,1043.31,-12.1826,24.9868,9.32211,9.31844
7,22.5,-30,0,1000,-1250,227.648,788.123,236.074,311.394,1488.04,-73.9371,1414.1,-10.8268,38.851,21.739,21.7327
8,22.5,-30,0,1000,-1500,156.082,1130.11,311.146,441.847,1931.6,-92.3294,1839.27,-8.76554,54.369,34.9494,34.942
9,22.5,-30,0,1250,-750,547.351,198.349,266.972,72.6888,1037.66,-74.4091,963.247,-20.9746,12.328,-7.92756,-7.93291
10,22.5,-30,0,1250,-1000,509.514,445.029,284.336,179.9,1370.69,-83.7515,1286.94,-20.3363,24.6658,2.59404,2.58798
11,22.5,-30,0,1250,-1250,445.753,758.57,322.355,300.297,1763.95,-98.3479,1665.6,-19.011,39.2689,15.448,15.4411
12,22.5,-30,0,1250,-1500,381.065,1119.77,364.094,446.316,2217.97,-111.762,2106.21,-17.4963,55.6396,30.7128,30.705
13,22.5,-30,0,1500,-750,781.527,142.606,406.141,49.5031,1311.03,-109.563,1201.47,-29.799,10.0168,-15.6531,-15.6592
14,22.5,-30,0,1500,-1000,774.7,389.404,400.414,163.344,1655.88,-114.908,1540.97,-29.9352,23.0946,-6.94869,-6.9553
15,22.5,-30,0,1500,-1250,723.577,710.126,426.556,297.647,2087.44,-125.384,1962.06,-28.9956,38.7859,6.84858,6.84114
16,22.5,-30,0,1500,-1500,664.047,1092,462.963,441.556,2571.26,-137.436,2433.82,-27.7982,56.4478,21.9136,21.9052
17,22.5,-30,2.5,750,-750,154.668,263.11,80.744,91.4713,567.028,-52.7336,514.295,-6.75861,13.9322,5.20571,5.20337
18,22.5,-30,2.5,750,-1000,103.442,478.332,122.444,178.693,840.98,-69.7513,771.229,-5.4191,23.932,14.2481,14.2447
19,22.5,-30,2.5,750,-1250,45.537,769.425,175.109,266.951,1182.25,-85.3466,1096.9,-3.633,36.8181,24.344,24.3401
20,22.5,-30,2.5,750,-1500,-25.0388,1101.48,230.182,397.245,1598.44,-105.315,1493.13,-1.33099,51.7435,36.9621,36.9571
21,22.5,-30,2.5,1000,-750,325.204,236.445,143.092,78.2077,753.586,-75.3288,678.257,-13.0014,13.5538,-0.0160026,-0.0189961
22,22.5,-30,2.5,1000,-1000,279.292,473.865,164.358,175.743,1052.51,-88.1168,964.393,-12.0648,24.8875,9.4017,9.39798
23,22.5,-30,2.5,1000,-1250,221.071,773.548,198.541,282.267,1407.29,-99.4431,1307.84,-10.5915,38.3394,21.8037,21.7996
24,22.5,-30,2.5,1000,-1500,150.539,1125.3,274.883,404.208,1847.17,-122.348,1724.82,-8.58322,54.2183,34.4922,34.487
25,22.5,-30,2.5,1250,-750,536.438,190.995,227.102,63.8562,970.885,-99.001,871.884,-20.7179,12.0217,-7.58066,-7.58388
26,22.5,-30,2.5,1250,-1000,490.902,442.007,249.687,154.619,1290.17,-111.427,1178.74,-19.839,24.5022,3.11987,3.11599
27,22.5,-30,2.5,1250,-1250,443.889,752.583,274.515,268.782,1678.48,-124.525,1553.95,-18.8942,39.0297,15.1727,15.1681
28,22.5,-30,2.5,1250,-1500,373.104,1106.77,314.684,414.547,2120.18,-141.876,1978.3,-17.2197,55.2212,30.2766,30.2712
29,22.5,-30,2.5,1500,-750,800.107,142.798,334.281,49.4527,1261.01,-131.453,1129.56,-30.2687,10.061,-16.4484,-16.4523
30,22.5,-30,2.5,1500,-1000,762.083,389.485,348.272,139.346,1569.15,-142.082,1427.07,-29.6474,23.065,-6.81489,-6.81938
31,22.5,-30,2.5,1500,-1250,698.82,708.295,380.622,264.71,1983.37,-157.846,1825.53,-28.4268,38.6402,7.3795,7.37423
32,22.5,-30,2.5,1500,-1500,631.24,1090.56,420.088,398.34,2452.23,-174.362,2277.87,-26.9704,56.2984,22.5714,22.5653
33,22.5,-30,5,750,-750,145.239,250.424,36.7397,60.9505,471.054,-58.8902,412.164,-6.48,13.5108,4.98319,4.98081
34,22.5,-30,5,750,-1000,96.8162,470.369,73.0465,130.638,729.903,-78.7433,651.16,-5.2157,23.6759,14.0461,14.0426
35,22.5,-30,5,750,-1250,31.6384,759.091,116.62,223.379,1056.57,-116.918,939.657,-3.19302,36.6063,24.0103,24.0115
36,22.5,-30,5,750,-1500,-40.1914,1091.47,157.549,346.664,1450.03,-140.988,1309.04,-0.816804,51.5735,36.4901,36.4899
37,22.5,-30,5,1000,-750,316.556,223.168,82.7962,50.7958,643.757,-82.7689,560.988,-12.7654,13.0436,-0.325278,-0.328516
38,22.5,-30,5,1000,-1000,268.362,461.342,100.795,134.229,924.912,-98.4424,826.47,-11.7272,24.4585,9.2801,9.27589
39,22.5,-30,5,1000,-1250,207.382,751.061,139.492,230.95,1270.68,-133.96,1136.72,-10.1669,37.7013,21.2191,21.2198
40,22.5,-30,5,1000,-1500,135.533,1111.77,213.611,338.053,1692.1,-162.241,1529.86,-8.1132,53.8284,33.9093,33.9085
41,22.5,-30,5,1250,-750,528.938,178.961,157.35,36.6363,857.216,-129.388,727.829,-20.4822,11.5265,-7.33914,-7.33728
42,22.5,-30,5,1250,-1000,486.255,428.495,170.278,118.479,1159.77,-143.317,1016.45,-19.6978,24.0459,2.73636,2.73736
43,22.5,-30,5,1250,-1250,426.97,733.446,193.408,232.491,1527.14,-160.799,1366.34,-18.441,38.497,14.9431,14.943
44,22.5,-30,5,1250,-1500,356.322,1093.08,236.984,354.034,1956.42,-182.178,1774.24,-16.683,54.8232,29.6933,29.692
45,22.5,-30,5,1500,-750,784.013,124.481,257.176,26.1336,1126.98,-167.315,959.663,-29.8165,9.27711,-15.7673,-15.7666
46,22.5,-30,5,1500,-1000,744.511,377.274,269.633,97.9826,1421.86,-179.911,1241.95,-29.1129,22.5653,-6.31441,-6.31449
47,22.5,-30,5,1500,-1250,688.525,696.123,290.573,210.684,1820.16,-196.762,1623.39,-28.0565,38.198,7.19057,7.18951
