# Design Points of Design of Experiments
# Custom
# ,P28 - (B1_P1) h1 (degree) ,P29 - (B2_P1) h2 (degree) ,P30 - Vx (km hr^-1) ,P31 - n1 (rev min^-1) ,P32 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P28,P29,P30,P31,P32,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,22.5,-35,0,750,-750,138.183,324.436,116.166,142.625,689.47,-35.4126,654.057,-6.3305,18.8905,9.72773,9.72309
2,22.5,-35,0,750,-1000,78.07,568.787,176.595,254.304,1010.22,-51.7401,958.485,-4.64618,31.7563,20.7662,20.7606
3,22.5,-35,0,750,-1250,-0.399121,862.052,254.316,390.532,1405.91,-72.2039,1333.71,-2.17312,47.1988,34.0155,34.0089
4,22.5,-35,0,750,-1500,-86.7442,1218.74,335.655,573.436,1896.81,-96.3708,1800.44,0.632662,66.1423,50.0037,49.9958
5,22.5,-35,0,1000,-750,306.647,319.023,183.161,131.036,902.385,-54.1865,848.198,-12.5479,19.6435,5.16778,5.16268
6,22.5,-35,0,1000,-1000,247.465,579.896,219.045,262.994,1252.88,-67.6816,1185.19,-11.2335,33.6397,17.4399,17.4341
7,22.5,-35,0,1000,-1250,166.954,895.129,291.31,417.174,1665.14,-87.1314,1578.01,-9.00527,50.1939,31.8553,31.8484
8,22.5,-35,0,1000,-1500,74.4809,1254.78,404.146,577.677,2164.34,-112.91,2051.43,-6.16,69.2246,48.009,48.0007
9,22.5,-35,0,1250,-750,523.203,294.521,274.413,115.334,1161.45,-77.6318,1083.82,-20.3584,19.3515,-1.27478,-1.28021
10,22.5,-35,0,1250,-1000,462.426,577.038,308.331,249.845,1533.64,-92.1546,1441.49,-19.1857,34.8608,11.6976,11.6911
11,22.5,-35,0,1250,-1250,387.351,908.239,355.841,419.653,1982.82,-108.241,1874.58,-17.4906,52.561,27.3559,27.3485
12,22.5,-35,0,1250,-1500,288.491,1294.77,438.602,616.71,2486.61,-130.847,2355.76,-14.8009,72.7868,44.9787,44.9701
13,22.5,-35,0,1500,-750,781.615,256.437,390.443,107.317,1468.91,-108.215,1360.69,-29.7278,18.1403,-8.87646,-8.88271
14,22.5,-35,0,1500,-1000,712.423,558.182,433.481,213.457,1850.16,-121.147,1729.02,-28.3855,35.105,4.29315,4.2868
15,22.5,-35,0,1500,-1250,653.091,910.452,469.411,385.443,2322.62,-134.726,2187.89,-27.2745,54.2011,20.1761,20.1687
16,22.5,-35,0,1500,-1500,563.75,1307.59,524.35,612.668,2881.55,-156.059,2725.49,-25.2468,75.561,39.2225,39.2136
17,22.5,-35,2.5,750,-750,133.242,320.519,88.7939,123.923,635.791,-55.0784,580.712,-6.16745,18.7508,9.65473,9.65247
18,22.5,-35,2.5,750,-1000,74.021,566.464,147.903,223.535,945,-75.1268,869.873,-4.51933,31.656,20.5077,20.5045
19,22.5,-35,2.5,750,-1250,-7.52208,858.833,213.502,358.042,1322.31,-100.2,1222.11,-1.93609,47.0845,33.7358,33.7312
20,22.5,-35,2.5,750,-1500,-94.925,1215.72,287.09,536.717,1800.22,-126.529,1673.69,0.911102,66.0762,49.7989,49.7931
21,22.5,-35,2.5,1000,-750,302.019,314.151,146.512,113.972,840.651,-75.6803,764.97,-12.4108,19.4392,5.02549,5.02272
22,22.5,-35,2.5,1000,-1000,241.396,576.017,180.608,236.892,1179.73,-92.0296,1087.7,-11.0231,33.4872,17.3913,17.3877
23,22.5,-35,2.5,1000,-1250,162.451,893.001,253.91,376.834,1581.59,-115.627,1465.96,-8.84529,50.0939,31.7019,31.6972
24,22.5,-35,2.5,1000,-1500,65.0869,1252.13,357.104,532.29,2060.47,-145.195,1915.27,-5.84985,69.0781,47.7934,47.7874
25,22.5,-35,2.5,1250,-750,510,288.636,235.266,101.709,1090.08,-103.591,986.489,-20.0333,19.0801,-0.828438,-0.831852
26,22.5,-35,2.5,1250,-1000,457.315,572.725,263.381,220.727,1451.67,-118.401,1333.27,-19.0008,34.6367,11.4321,11.4279
27,22.5,-35,2.5,1250,-1250,380.779,903.611,305.253,386.688,1889.51,-137.548,1751.96,-17.2556,52.3784,27.3581,27.353
28,22.5,-35,2.5,1250,-1500,280.964,1290.62,391.21,568.129,2380.45,-164.63,2215.82,-14.5209,72.5677,45.0236,45.0173
29,22.5,-35,2.5,1500,-750,770.268,258.395,341.223,90.5978,1393.96,-136.143,1257.82,-29.4751,18.2232,-9.03205,-9.03613
30,22.5,-35,2.5,1500,-1000,712.351,546.554,369.527,208.923,1770.65,-150.675,1619.97,-28.4037,34.7134,5.00346,4.99868
31,22.5,-35,2.5,1500,-1250,637.984,904.086,413.285,366.157,2226.28,-169.812,2056.47,-26.8628,54.0257,20.4467,20.441
32,22.5,-35,2.5,1500,-1500,550.242,1303.88,464.539,571.913,2765,-192.193,2572.81,-24.8249,75.4108,39.502,39.4953
33,22.5,-35,5,750,-750,123.069,308.858,47.0112,89.8786,541.208,-81.2462,459.962,-5.86448,18.3681,9.38489,9.3882
34,22.5,-35,5,750,-1000,60.9335,552.024,98.8254,174.556,827.258,-105.944,721.314,-4.10658,31.1023,20.3794,20.3814
35,22.5,-35,5,750,-1250,-20.0987,856.961,144.234,305.746,1186.63,-132.545,1054.09,-1.52778,47.1329,33.282,33.2824
36,22.5,-35,5,750,-1500,-109.527,1212.88,204.799,475.048,1638.31,-164.928,1473.39,1.40197,66.1529,49.3489,49.3476
37,22.5,-35,5,1000,-750,291.946,300.595,88.7611,83.8274,733.074,-104.153,628.92,-12.1352,18.9183,4.95923,4.96173
38,22.5,-35,5,1000,-1000,228.278,565.401,119.966,190.471,1051.6,-124.254,927.346,-10.6122,33.1621,17.1093,17.1106
39,22.5,-35,5,1000,-1250,152.063,886.598,192.574,308.846,1436.93,-153.525,1283.41,-8.53671,49.8639,31.1684,31.1682
40,22.5,-35,5,1000,-1500,48.1614,1249.78,273.177,461.002,1886.05,-186.408,1699.64,-5.30775,69.0353,47.3444,47.3425
41,22.5,-35,5,1250,-750,505.13,275.459,158.603,72.911,969.874,-134.006,835.868,-19.8897,18.5427,-1.17464,-1.17308
42,22.5,-35,5,1250,-1000,447.858,558.79,181.045,181.577,1309.76,-151.84,1157.92,-18.7329,34.1522,11.091,11.0916
