# Design Points of Design of Experiments
# Custom
# ,P28 - (B1_P1) h1 (degree) ,P29 - (B2_P1) h2 (degree) ,P30 - Vx (km hr^-1) ,P31 - n1 (rev min^-1) ,P32 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P28,P29,P30,P31,P32,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,32.5,-20,0,750,-750,289.663,86.3276,179.788,11.9927,537.403,-45.1547,492.248,-14.7531,5.06695,-7.03257,-7.03684
2,32.5,-20,0,750,-1000,287.606,253.731,186.507,35.6739,733.814,-48.548,685.266,-14.9098,11.1318,-3.06784,-3.07246
3,32.5,-20,0,750,-1250,277.958,455.595,204.577,84.9535,983.588,-55.3811,928.207,-14.9472,18.1579,2.56668,2.56157
4,32.5,-20,0,750,-1500,259.062,677.745,230.242,147.929,1261.92,-63.8323,1198.09,-14.6293,25.7772,8.02528,8.0196
5,32.5,-20,0,1000,-750,516.685,-16.0575,328.146,5.3674,779.35,-80.7558,698.594,-26.053,3.13977,-15.6032,-15.6087
6,32.5,-20,0,1000,-1000,511.702,157.421,334.51,25.231,975.979,-83.9883,891.991,-26.0589,9.02736,-12.1202,-12.1255
7,32.5,-20,0,1000,-1250,510.7,380.349,341.121,49.9428,1232.05,-87.3464,1144.7,-26.2882,17.1305,-7.09686,-7.10255
8,32.5,-20,0,1000,-1500,503.843,642.607,358.586,109.204,1553.83,-94.5189,1459.32,-26.5019,26.223,0.502947,0.496638
9,32.5,-20,0,1250,-750,803.222,-146.604,517.69,-2.96174,1088.75,-125.892,962.854,-40.2421,-1.28518,-29.7468,-29.7526
10,32.5,-20,0,1250,-1000,800.578,24.841,526.104,18.87,1286.85,-129.026,1157.83,-40.4162,5.51977,-24.4253,-24.4314
11,32.5,-20,0,1250,-1250,796.807,251.463,537.759,43.0562,1548.39,-132.994,1415.4,-40.5797,14.1717,-18.4835,-18.4901
