# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P3 - Vx (km hr^-1) ,P4 - n1 (rev min^-1) ,P5 - n2 (rev min^-1) ,P6 - r1-op (N) ,P7 - r2-op (N) ,P8 - rx_ring1-op (N) ,P9 - rx_ring2-op (N) ,P10 - rx_wmg-op (N) ,P11 - rx_body-op (N) ,P12 - rx_sum-op (N) ,P13 - mx1-op (J) ,P14 - mx2-op (J) ,P15 - mx_wmg-op (J) ,P16 - mx_sum-op (J) 
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16
0,32.5,-32.5,0.0,750,-750,284.283,300.738,203.029,89.7348,843.222,-52.3566,790.865,-15.2086,17.7808,0.731942,0.727589
1,32.5,-32.5,0.0,750,-1000,248.493,549.362,242.669,201.245,1180.44,-65.0956,1115.35,-14.3538,30.0918,10.7685,10.7633
2,32.5,-32.5,0.0,750,-1250,196.681,845.919,293.559,350.459,1589.79,-82.1104,1507.68,-12.6273,44.6948,23.7996,23.7935
3,32.5,-32.5,0.0,750,-1500,134.128,1199.6,369.212,526.774,2095.18,-104.591,1990.59,-10.045,62.1623,38.6589,38.6515
4,32.5,-32.5,0.0,1000,-750,518.992,269.316,345.101,73.4934,1157.51,-87.3199,1070.19,-26.8462,17.728,-7.54186,-7.54687
5,32.5,-32.5,0.0,1000,-1000,506.378,543.807,373.835,166.533,1530.0,-97.5042,1432.5,-27.0169,31.9675,1.51665,1.51092
6,32.5,-32.5,0.0,1000,-1250,470.12,863.65,427.496,312.569,1978.64,-114.411,1864.23,-26.4752,47.7345,14.9445,14.9377
7,32.5,-32.5,0.0,1000,-1500,404.006,1232.74,489.882,496.332,2482.02,-133.449,2348.57,-24.3686,65.9636,30.5282,30.5202
8,32.5,-32.5,0.0,1250,-750,810.957,185.043,541.99,65.0982,1522.8,-133.943,1388.85,-41.5197,14.2209,-21.3219,-21.3277
9,32.5,-32.5,0.0,1250,-1000,806.489,509.703,559.776,142.222,1938.64,-141.7,1796.94,-41.9029,32.3452,-8.48086,-8.48738
10,32.5,-32.5,0.0,1250,-1250,790.86,858.748,596.981,266.122,2418.38,-154.625,2263.75,-42.148,50.2973,2.59358,2.58618
11,32.5,-32.5,0.0,1250,-1500,750.508,1250.04,664.153,447.411,2982.39,-174.935,2807.45,-41.6874,69.4947,18.2529,18.2444
12,32.5,-32.5,0.0,1500,-750,1165.77,86.3709,788.609,52.1305,1979.64,-190.549,1789.09,-59.3405,9.51157,-37.9681,-37.9749
13,32.5,-32.5,0.0,1500,-1000,1162.26,418.135,803.567,129.37,2404.95,-198.321,2206.63,-59.7829,29.2022,-23.277,-23.2845
14,32.5,-32.5,0.0,1500,-1250,1155.56,822.857,828.429,231.894,2921.47,-208.298,2713.17,-60.2406,51.1128,-8.94442,-8.95269
15,32.5,-32.5,0.0,1500,-1500,1137.03,1246.15,873.131,386.486,3507.42,-223.461,3283.96,-60.555,72.7579,4.05873,4.04944
16,32.5,-32.5,2.5,750,-750,280.79,292.999,170.107,75.4428,785.86,-74.632,711.228,-15.0676,17.4167,0.713926,0.711282
17,32.5,-32.5,2.5,750,-1000,241.925,543.713,203.123,180.564,1109.3,-89.7124,1019.59,-14.0367,29.8488,10.7783,10.7748
18,32.5,-32.5,2.5,750,-1250,190.535,841.943,249.056,320.628,1506.5,-109.711,1396.79,-12.2967,44.5321,23.7877,23.7832
19,32.5,-32.5,2.5,750,-1500,128.831,1194.85,324.523,484.109,1998.98,-136.208,1862.77,-9.73957,61.9412,38.602,38.5963
20,32.5,-32.5,2.5,1000,-750,520.677,262.019,299.732,59.411,1094.34,-112.416,981.921,-26.8729,17.3731,-8.10785,-8.11131
21,32.5,-32.5,2.5,1000,-1000,503.326,534.435,328.013,147.425,1453.95,-125.197,1328.75,-26.8875,31.5198,1.43992,1.43579
22,32.5,-32.5,2.5,1000,-1250,460.385,856.372,376.174,286.01,1885.13,-144.29,1740.84,-25.9883,47.3915,14.8754,14.8703
23,32.5,-32.5,2.5,1000,-1500,394.436,1227.19,432.307,461.522,2376.22,-166.44,2209.78,-23.8618,65.7001,30.6459,30.6397
24,32.5,-32.5,2.5,1250,-750,815.099,183.326,483.383,51.593,1454.51,-162.479,1292.03,-41.5924,14.1654,-21.2779,-21.2824
25,32.5,-32.5,2.5,1250,-1000,808.547,500.65,500.779,124.302,1857.04,-172.407,1684.63,-41.9267,31.9195,-9.04346,-9.0485
26,32.5,-32.5,2.5,1250,-1250,788.32,847.772,538.291,242.105,2323.49,-187.978,2135.51,-42.016,49.7692,2.50096,2.49516
27,32.5,-32.5,2.5,1250,-1500,742.764,1242.01,599.449,415.738,2870.76,-211.168,2659.59,-41.3261,69.1251,18.4539,18.447
28,32.5,-32.5,2.5,1500,-750,1171.83,83.4673,714.765,43.263,1901.06,-223.164,1677.9,-59.496,9.30817,-38.1383,-38.144
29,32.5,-32.5,2.5,1500,-1000,1168.68,415.225,727.235,112.093,2316.71,-232.066,2084.65,-59.9559,29.0908,-23.9174,-23.9236
