# Design Points of Design of Experiments
# Custom
# ,P1 - (B1_P1) h1 (degree) ,P2 - (B2_P1) h2 (degree) ,P28 - Vx (km hr^-1) ,P29 - n1 (rev min^-1) ,P30 - n2 (rev min^-1) ,P17 - R1 (N) ,P18 - R2 (N) ,P19 - rx ring 1 (N) ,P20 - rx ring 2 (N) ,P21 - rx wmg (N) ,P22 - rx body (N) ,P23 - rx sum (N) ,P24 - mx1 (J) ,P25 - mx2 (J) ,P26 - mx wmg (J) ,P27 - mx sum (J) 
Name,P1,P2,P28,P29,P30,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
1,25,-20,0,750,-750,219.662,116.457,110.213,23.3079,450.492,-35.2776,415.214,-9.17069,5.72004,-2.7352,-2.73744
2,25,-20,0,750,-1000,203.691,277.12,119.42,59.8313,635.395,-40.3151,595.08,-8.91033,11.4701,1.74685,1.74442
3,25,-20,0,750,-1250,178.715,481.714,134.435,115.415,868.884,-41.717,827.167,-8.35531,18.4136,7.45367,7.44947
4,25,-20,0,750,-1500,145.191,707.315,158.603,183.352,1139.99,-50.1467,1089.85,-7.45521,26.0513,13.489,13.4842
5,25,-20,0,1000,-750,399.643,35.5712,203.023,16.745,617.953,-60.3378,557.615,-16.3282,3.47111,-9.72371,-9.72629
6,25,-20,0,1000,-1000,391.482,212.991,206.279,43.96,820.82,-61.8337,758.986,-16.2578,10.2337,-4.83806,-4.84084
7,25,-20,0,1000,-1250,372.802,428.786,217.061,90.5053,1071.13,-62.8465,1008.28,-15.9498,17.8597,0.874561,0.869998
8,25,-20,0,1000,-1500,344.853,683.789,235.6,158.077,1361.32,-70.6593,1290.66,-15.4236,26.6129,8.41416,8.40897
9,25,-20,0,1250,-750,630.153,-59.7537,321.642,10.6694,848.865,-84.9681,763.897,-25.4701,0.530675,-19.0176,-19.0219
10,25,-20,0,1250,-1000,624.628,116.091,324.877,31.2054,1039.75,-87.5508,952.203,-25.4619,7.5443,-13.8894,-13.894
11,25,-20,0,1250,-1250,612.662,344.968,332.084,68.622,1303.88,-91.4737,1212.41,-25.3397,16.1753,-7.31979,-7.32491
