,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,30.0,-32.5,0.0,750,-750,253.251,301.142,178.707,97.6821,798.738,-47.5218,751.216,-12.8169,17.5834,2.47156,2.46721
1,30.0,-32.5,0.0,750,-1000,212.557,548.952,217.861,211.532,1128.69,-60.6303,1068.06,-11.7791,29.856,13.0653,13.0601
2,30.0,-32.5,0.0,750,-1250,152.957,842.198,268.63,360.426,1527.22,-77.3179,1449.9,-9.69165,44.3472,25.6704,25.6642
3,30.0,-32.5,0.0,750,-1500,87.7293,1188.02,357.874,522.79,2023.74,-100.798,1922.94,-7.00504,61.4498,40.3744,40.3669
4,30.0,-32.5,0.0,1000,-750,474.702,273.455,300.114,79.6825,1083.81,-77.93,1005.88,-22.9684,17.5773,-5.1345,-5.13948
5,30.0,-32.5,0.0,1000,-1000,451.813,543.432,330.451,180.416,1449.82,-88.9273,1360.9,-22.7716,31.5441,4.60655,4.60083
6,30.0,-32.5,0.0,1000,-1250,405.27,863.522,382.635,330.776,1883.96,-105.756,1778.2,-21.7865,47.3413,18.6078,18.6011
7,30.0,-32.5,0.0,1000,-1500,329.504,1230.28,444.41,515.722,2377.91,-124.753,2253.16,-19.2754,65.504,34.0029,33.9949
8,30.0,-32.5,0.0,1250,-750,750.013,206.791,467.324,71.3891,1424.61,-118.595,1306.02,-35.747,15.0802,-17.0882,-17.094
9,30.0,-32.5,0.0,1250,-1000,736.241,512.72,489.052,155.523,1821.65,-127.472,1694.18,-35.8097,31.9113,-4.88903,-4.8955
10,30.0,-32.5,0.0,1250,-1250,706.113,856.827,530.751,288.186,2293.99,-141.64,2152.35,-35.5188,49.5643,7.433,7.42563
11,30.0,-32.5,0.0,1250,-1500,653.211,1250.39,592.578,475.257,2831.72,-161.185,2670.54,-34.5207,68.8678,24.5936,24.5851
12,30.0,-32.5,0.0,1500,-750,1080.14,121.115,679.276,64.2306,1844.71,-168.626,1676.08,-51.1329,10.916,-31.6994,-31.7063
13,30.0,-32.5,0.0,1500,-1000,1072.38,444.209,693.455,138.567,2251.43,-175.285,2076.15,-51.3394,29.9436,-18.9473,-18.9547
14,30.0,-32.5,0.0,1500,-1250,1054.31,824.461,720.719,254.426,2748.07,-186.229,2561.84,-51.4248,50.3334,-4.05672,-4.065
15,30.0,-32.5,0.0,1500,-1500,1020.4,1238.74,769.406,424.58,3326.82,-203.576,3123.25,-51.2176,71.5259,10.6647,10.6554
16,30.0,-32.5,2.5,750,-750,249.369,294.072,147.878,82.8311,743.21,-69.2395,673.97,-12.674,17.2636,2.43907,2.43644
