,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,35.0,-27.5,0.0,750,-750,302.893,202.471,207.374,44.0439,723.505,-52.849,670.656,-17.0111,11.2397,-3.77735,-3.78174
1,35.0,-27.5,0.0,750,-1000,292.764,416.667,233.103,112.234,1015.48,-61.9902,953.494,-17.1519,20.7548,2.79467,2.78964
2,35.0,-27.5,0.0,750,-1250,268.285,673.379,270.609,206.458,1359.01,-74.3954,1284.61,-16.7225,31.8084,11.8525,11.8467
3,35.0,-27.5,0.0,750,-1500,230.072,972.993,317.2,328.164,1765.84,-89.6273,1676.21,-15.5268,44.6368,22.5643,22.5576
4,35.0,-27.5,0.0,1000,-750,540.093,126.188,373.438,30.0752,1009.97,-92.6138,917.355,-29.8164,8.7627,-15.7882,-15.7934
5,35.0,-27.5,0.0,1000,-1000,539.35,370.235,387.524,81.6802,1320.95,-98.7706,1222.18,-30.2213,20.3031,-6.24607,-6.25176
6,35.0,-27.5,0.0,1000,-1250,530.279,650.578,419.037,169.924,1704.38,-109.601,1594.78,-30.5728,32.6683,2.35967,2.35335
7,35.0,-27.5,0.0,1000,-1500,506.151,975.053,466.744,283.119,2144.7,-124.3,2020.4,-30.3857,46.7166,12.8813,12.8739
8,35.0,-27.5,0.0,1250,-750,843.553,16.4671,595.04,19.2298,1383.84,-143.213,1240.63,-46.2595,4.28948,-30.5281,-30.5343
9,35.0,-27.5,0.0,1250,-1000,842.593,276.915,609.195,64.2767,1703.29,-149.21,1554.08,-46.6308,17.5208,-21.1526,-21.1592
10,35.0,-27.5,0.0,1250,-1250,842.034,590.674,629.359,132.254,2104.81,-157.092,1947.72,-47.1587,32.1275,-8.95897,-8.96622
11,35.0,-27.5,0.0,1250,-1500,835.699,931.317,659.027,234.245,2560.43,-168.129,2392.3,-47.6647,47.112,0.491344,0.483335
12,35.0,-27.5,0.0,1500,-750,1223.31,-94.4552,849.759,3.61276,1853.22,-204.985,1648.23,-66.6258,-0.138037,-49.4553,-49.4626
13,35.0,-27.5,0.0,1500,-1000,1221.67,140.201,866.879,51.3395,2148.62,-211.035,1937.58,-67.0326,12.1486,-40.9104,-40.918
14,35.0,-27.5,0.0,1500,-1250,1221.34,477.165,883.363,111.908,2567.71,-217.181,2350.53,-67.539,28.9023,-27.9811,-27.9892
15,35.0,-27.5,0.0,1500,-1500,1219.31,859.293,905.302,200.224,3056.54,-226.361,2830.18,-68.1182,46.5413,-12.9356,-12.9444
16,35.0,-27.5,2.5,750,-750,302.593,195.857,174.157,33.9323,673.853,-73.9593,599.894,-17.0227,11.0066,-4.17251,-4.17499
17,35.0,-27.5,2.5,750,-1000,288.455,411.261,197.487,97.9573,956.797,-85.3684,871.429,-16.997,20.6035,2.54185,2.53876
18,35.0,-27.5,2.5,750,-1250,261.448,664.979,229.371,186.959,1284.55,-99.7753,1184.77,-16.3963,31.54,11.704,11.7002
19,35.0,-27.5,2.5,750,-1500,221.434,965.434,271.132,303.49,1679.86,-117.575,1562.28,-15.0485,44.4128,22.5013,22.4965
20,35.0,-27.5,2.5,1000,-750,542.053,119.109,330.126,21.1361,953.032,-117.297,835.735,-29.8883,8.48382,-15.9096,-15.913
21,35.0,-27.5,2.5,1000,-1000,539.5,362.554,341.819,68.3604,1254.75,-125.205,1129.55,-30.2381,20.0444,-6.71541,-6.71929
22,35.0,-27.5,2.5,1000,-1250,526.521,639.026,371.118,152.579,1625.42,-138.186,1487.24,-30.4577,32.2631,1.82301,1.81845
