,h1 [град],h2 [град],Vн [км/ч],n1 [об/мин],n2 [об/мин],ТВ1 [Н],ТВ2 [Н],RК1 [Н],RК2 [Н],R ВМГ [Н],R тела [Н],R суммарная [Н],Mвx1 [Н*м],Mвx2 [Н*м],Mx ВМГ [Н*м],Mx суммарная [Н*м]
0,27.5,-32.5,0.0,750,-750,220.005,302.636,154.444,107.466,754.01,-42.4938,711.516,-10.5806,17.3542,4.26881,4.26436
1,27.5,-32.5,0.0,750,-1000,172.692,549.344,193.563,225.759,1078.63,-55.9917,1022.64,-9.30604,29.7097,15.0051,14.9997
2,27.5,-32.5,0.0,750,-1250,108.295,838.754,251.484,365.825,1468.8,-72.924,1395.87,-7.01973,43.786,27.2082,27.2018
3,27.5,-32.5,0.0,750,-1500,42.7547,1180.94,351.407,517.778,1961.48,-97.645,1863.84,-4.43443,60.6854,41.5921,41.5844
4,27.5,-32.5,0.0,1000,-750,427.251,278.206,256.534,88.0218,1012.4,-68.8186,943.578,-19.3992,17.4041,-2.63977,-2.64488
5,27.5,-32.5,0.0,1000,-1000,391.031,548.844,290.099,206.271,1381.08,-80.8718,1300.21,-18.7841,32.0189,8.54592,8.54009
6,27.5,-32.5,0.0,1000,-1250,336.512,865.629,338.889,351.876,1795.11,-97.1436,1697.96,-17.4194,46.8529,21.6196,21.6127
7,27.5,-32.5,0.0,1000,-1500,254.096,1229.52,401.22,534.057,2278.45,-116.178,2162.27,-14.6571,64.8106,37.0871,37.0789
8,27.5,-32.5,0.0,1250,-750,684.812,226.712,397.603,73.7777,1320.99,-103.733,1217.25,-30.4152,15.675,-13.3924,-13.3983
9,27.5,-32.5,0.0,1250,-1000,660.718,517.935,420.375,170.941,1707.35,-113.451,1593.9,-30.186,31.4339,-1.16024,-1.16685
10,27.5,-32.5,0.0,1250,-1250,616.869,856.349,462.705,316.559,2168.6,-128.11,2040.49,-29.4277,48.6774,12.2778,12.2703
11,27.5,-32.5,0.0,1250,-1500,548.66,1252.96,525.108,507.649,2693.6,-148.077,2545.53,-27.8038,68.1186,29.4385,29.4298
12,27.5,-32.5,0.0,1500,-750,990.549,152.658,580.121,70.6369,1705.67,-147.812,1557.86,-43.6212,12.2629,-25.4153,-25.4221
13,27.5,-32.5,0.0,1500,-1000,975.107,460.913,594.692,148.207,2094.43,-155.245,1939.19,-43.5854,29.9937,-13.3628,-13.3703
14,27.5,-32.5,0.0,1500,-1250,943.117,829.302,624.668,279.332,2579.69,-167.539,2412.15,-43.2465,49.4645,1.09983,1.09153
15,27.5,-32.5,0.0,1500,-1500,889.898,1238.11,676.577,462.885,3146.88,-185.389,2961.49,-42.3708,70.2668,17.7837,17.7742
16,27.5,-32.5,2.5,750,-750,215.567,296.603,125.095,91.8419,699.81,-63.7301,636.08,-10.421,17.0917,4.24001,4.23744
17,27.5,-32.5,2.5,750,-1000,167.434,545.339,157.884,200.308,1009.96,-79.5658,930.394,-9.07189,29.3729,14.8964,14.893
18,27.5,-32.5,2.5,750,-1250,104.133,833.851,216.54,329.642,1389.71,-100.556,1289.16,-6.83257,43.5851,27.0747,27.0701
19,27.5,-32.5,2.5,750,-1500,36.5662,1177.35,310.009,474.485,1867.5,-129.101,1738.39,-4.15227,60.5238,41.4458,41.4399
20,27.5,-32.5,2.5,1000,-750,424.809,270.523,216.766,74.186,950.13,-92.5622,857.568,-19.3061,17.0086,-2.77462,-2.7779
21,27.5,-32.5,2.5,1000,-1000,388.661,537.314,245.934,177.382,1296.84,-106.599,1190.24,-18.6531,30.7357,7.77,7.76596
